feature,importance_top
n_extra_selected_jets,0.09441614431762285
h_delta_r,0.07475719373447128
n_selected_jets,0.07228509980368002
drbb2,0.05553661575571329
hh_pt,0.05534478808382034
ht_selected_jets,0.04963559402661665
max_drbb,0.04928376972631444
h_delta_eta,0.042766299890271454
avg_drbb,0.03580971080564345
j2_eta,0.03475752612802859
j2_pt,0.03158226753370021
j3_pt,0.02876938462570456
h_delta_phi,0.027339656524264386
h2_pt,0.027075894350270625
h2_eta,0.026945539481384586
hh_eta,0.023559247622509296
j4_pt,0.022714748978389356
h1_pt,0.022678240811818927
h_pt_balance,0.022537495514400686
pt_asym_12,0.022396505148778237
min_drbb,0.021557011381437625
j3_eta,0.021143119349039913
j1_eta,0.0197965299575054
h1_eta,0.01878115468134387
j4_eta,0.01802600546636579
drbb1,0.016382289544180407
ht_candidate_jets,0.014804494732061873
pt_sum4,0.013969978525125033
j1_pt,0.009567217322467778
n_selected_bjets,0.009031254818000678
ht_selected_bjets,0.007919748114992003
pt_asym_34,0.006190426059927528
n_extra_selected_bjets,0.0026390471841488414
