stage	mu95_stat_only	ratio_to_cms_5p9	mu95_finite_mc_aware	gain_from_previous
pooled_one_bin	74.0151727273842	12.544944530064	68085.29934608826	1
exact3tag_ge4tag	44.32758473485289	7.513149954	32937.518650134225	1.669731684460336
categories_fixed_rhh_shape	31.95647727235911	5.41635208	545.7007962261	1.3871236293367737
