model,target_epsS,achieved_epsS,threshold,R_all_background,R_qcd,R_ttbar,n_signal_pass,n_signal_total,n_all_background_pass,n_all_background_total,n_qcd_pass,n_qcd_total,n_ttbar_pass,n_ttbar_total,finite_support_warnings
BDT-K,0.6,0.6000010343507898,0.6282615661621094,7.287931156097905,7.137276557450812,8.23061172254927,116015,193358,28354,206642,24447,174485,3907,32157,
BDT-K,0.5,0.5,0.694151759147644,10.775512332481618,10.7348960255937,11.00136845706466,96679,193358,19177,206642,16254,174485,2923,32157,
BDT-K,0.4,0.3999989656492103,0.7514441609382629,16.81109664822649,17.11979984301413,15.312857142857142,77343,193358,12292,206642,10192,174485,2100,32157,
BDT-K,0.25,0.2500025858769743,0.826501727104187,39.12192351382052,41.298224852071,30.42289498580889,48340,193358,5282,206642,4225,174485,1057,32157,
BDT-K,0.2,0.20000206870157947,0.849765419960022,56.957552370452035,60.98741698706746,41.925684485006514,38672,193358,3628,206642,2861,174485,767,32157,
BDT-K,0.1,0.10000103435078973,0.8964833617210388,163.61203483768804,181.75520833333334,106.12871287128712,19336,193358,1263,206642,960,174485,303,32157,
BDT-KF,0.6,0.6000010343507898,0.9424631595611572,121.76900412492634,113.96799477465709,193.71686746987953,116015,193358,1697,206642,1531,174485,166,32157,
BDT-KF,0.5,0.5,0.9669214487075806,225.34569247546347,211.75364077669903,345.7741935483871,96679,193358,917,206642,824,174485,93,32157,
BDT-KF,0.4,0.3999989656492103,0.9812032580375671,468.57596371882084,438.4045226130653,747.8372093023256,77343,193358,441,206642,398,174485,43,32157,
BDT-KF,0.25,0.2500025858769743,0.9924408197402954,1497.4057971014493,1363.1640625,3215.7,48340,193358,138,206642,128,174485,10,32157,
BDT-KF,0.2,0.20000206870157947,0.9945337772369385,2431.0823529411764,2208.6708860759495,5359.5,38672,193358,85,206642,79,174485,6,32157,"ttbar: only 6 survivors at epsS=0.2 - efficiency/rejection is low-statistics (Poisson-limited), not a precise estimate"
BDT-KF,0.1,0.10000103435078973,0.9974531531333923,11480.111111111111,9693.611111111111,,19336,193358,18,206642,18,174485,0,32157,"ttbar: zero survivors at epsS=0.1 (threshold=0.997453) - efficiency=0 exactly, rejection undefined (only a lower bound RB > 32157 is supported)"
SPA-Net 2M (primary),0.6,0.6000010343507898,0.9543167352676392,135.94868421052632,129.0569526627219,191.41071428571428,116015,193358,1520,206642,1352,174485,168,32157,
SPA-Net 2M (primary),0.5,0.5,0.9752855896949768,275.15579227696406,262.38345864661653,373.9186046511628,96679,193358,751,206642,665,174485,86,32157,
SPA-Net 2M (primary),0.4,0.40000413740315893,0.9867260456085205,574.0055555555556,548.6949685534591,765.6428571428571,77344,193358,360,206642,318,174485,42,32157,
SPA-Net 2M (primary),0.25,0.2500025858769743,0.9952768087387085,2246.108695652174,2127.8658536585367,3215.7,48340,193358,92,206642,82,174485,10,32157,
SPA-Net 2M (primary),0.2,0.20000206870157947,0.9968541264533997,4132.84,3965.568181818182,5359.5,38672,193358,50,206642,44,174485,6,32157,"ttbar: only 6 survivors at epsS=0.2 - efficiency/rejection is low-statistics (Poisson-limited), not a precise estimate"
SPA-Net 2M (primary),0.1,0.10000620610473836,0.9989651441574097,18785.636363636364,17448.5,32156.999999999996,19337,193358,11,206642,10,174485,1,32157,"ttbar: only 1 survivors at epsS=0.1 - efficiency/rejection is low-statistics (Poisson-limited), not a precise estimate"
SPA-Net 10M (primary),0.6,0.6000010343507898,0.9514410495758057,132.80334190231363,124.54318344039973,207.46451612903223,116015,193358,1556,206642,1401,174485,155,32157,
SPA-Net 10M (primary),0.5,0.5,0.9733022451400757,260.2544080604534,245.40787623066103,387.43373493975906,96679,193358,794,206642,711,174485,83,32157,
SPA-Net 10M (primary),0.4,0.3999989656492103,0.9854204654693604,510.22716049382717,476.73497267759564,824.5384615384615,77343,193358,405,206642,366,174485,39,32157,
SPA-Net 10M (primary),0.25,0.250007757630923,0.9947198629379272,1895.798165137615,1762.4747474747473,3215.7,48341,193358,109,206642,99,174485,10,32157,"ttbar: only 10 survivors at epsS=0.25 - efficiency/rejection is low-statistics (Poisson-limited), not a precise estimate"
SPA-Net 10M (primary),0.2,0.20000206870157947,0.9964361786842346,4132.84,3712.4468085106378,10719.0,38672,193358,50,206642,47,174485,3,32157,"ttbar: only 3 survivors at epsS=0.2 - efficiency/rejection is low-statistics (Poisson-limited), not a precise estimate"
SPA-Net 10M (primary),0.1,0.10000103435078973,0.9986763000488281,29520.285714285717,24926.428571428572,,19336,193358,7,206642,7,174485,0,32157,"ttbar: zero survivors at epsS=0.1 (threshold=0.998676) - efficiency=0 exactly, rejection undefined (only a lower bound RB > 32157 is supported)"
