model,training_population,feature_definition,seed,training_budget,checkpoint_criterion,auc_all_background,auc_qcd,auc_ttbar
BDT-K,8377425,52 kinematic features (jet 4-vectors / derived kinematic observables; no flavor-tag information).,0,"6000 boosting rounds (hard cap); early-stopping patience=50 rounds configured but NOT triggered -- terminated on the round cap, not the early-stop rule.","best_iteration by validation logloss (best_iteration=5998); model did not early-stop, effectively plateaued in its final ~15 rounds per HARVEY_SUMMARY.",0.8366046989775817,0.8270892110584215,0.8882360672511975
BDT-KF,8377425,82 features: K's 52 kinematic features plus 3 Sophon AK4 flavor-tag probability channels (probB/probC/probL) per jet slot.,0,"6000 boosting rounds (hard cap); early-stopping patience=50 rounds configured but NOT triggered -- terminated on the round cap, not the early-stop rule.","best_iteration by validation logloss (best_iteration=5999); model did not early-stop, effectively plateaued in its final ~15 rounds per HARVEY_SUMMARY.",0.9681763695124584,0.9661312336431018,0.9792733478426724
SPA-Net 2M (primary),2000000,"SPA-Net official-schema per-jet kinematic input tensors (up to 10 AK4 jets), joint assignment+classification architecture (hidden_dim=32, transformer_dim=128, 8 encoder layers).",0,"50 epochs, batch_size=2048","PRIMARY = maximum validation_average_jet_accuracy (best epoch 49, score 0.491227924823761).",0.9692811749569128,0.9681550020366414,0.9753918283758747
SPA-Net 10M (primary),10000000,"Identical to SPANET_2M -- same SPA-Net official-schema per-jet kinematic input tensors and architecture, only training-population size differs.",0,"50 epochs, batch_size=2048","PRIMARY = maximum validation_average_jet_accuracy (best epoch 47, score 0.4928354024887085).",0.9692723276616946,0.9677556643819263,0.9775017953474364
