ratio,value,interpretation
VBF Hjj→bb / VBF Hjj stable,0.8245788044151053,effective BR(H→bb) in the SM VBF-Hjj check
VBF HHjj single-decay syntax / stable HHjj,0.6796212228834404,tests whether one H→bb decay is applied
VBF HHjj double-decay syntax / stable HHjj,0.6796212228834404,tests explicit HH→4b syntax
0.662² from HEFT single-H check,0.4379358396746101,expected HH→4b/stable-HH ratio if two H→bb BRs are applied
0.5824² reference,0.33918976,modern SM BR(H→bb)² reference used earlier
