variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	status
mass_aware	25	j3_pt	$p_{\mathrm{T}}^{j_3}$	0.019667232934043023	0.0012535065927698863	0.01726177423661353	0.020683833604535143	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	26	abs_j3_eta	$|\eta_{j_3}|$	0.01885319499771823	0.001083581772070967	0.017004546061025506	0.02027763570775011	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	27	j3_mass	$m_{j_3}$	0.02033592811937735	0.0011568121761898924	0.018432487622111315	0.02150801714299059	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	28	j4_pt	$p_{\mathrm{T}}^{j_4}$	0.023733656478677624	0.0015396322415691876	0.02192184094967876	0.026460067075256867	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	29	abs_j4_eta	$|\eta_{j_4}|$	0.01790269107658545	0.0007661377062117827	0.0167051297756211	0.018869336194281428	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	30	j4_mass	$m_{j_4}$	0.029008735623222794	0.0035173598355291544	0.0230057467222678	0.0338028698378162	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	31	mbb1	$m_{bb}^{H_1}$	0.041988834902116676	0.004326146088102087	0.03666229890453301	0.04980729126312751	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	32	mbb2	$m_{bb}^{H_2}$	0.03996648587534211	0.0008581657576242313	0.0385781337315403	0.04081657364727263	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	33	delta_mbb	$|m_{bb}^{H_1}-m_{bb}^{H_2}|$	0.04122817195379982	0.004223167529241722	0.03491862138545738	0.04694851871217044	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	34	r_hh_125_125	$R_{HH}^{125,125}$	0.17661595149969395	0.009425443043729938	0.1661246220260965	0.18799974585661894	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	1	n_selected_jets	$N_{\mathrm{jet}}$	0.0646351052890807	0.005852985858041762	0.059288711658029236	0.07580525597268108	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
