variant	trial_id	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	folds	mean_weighted_roc_auc	worst_fold_weighted_roc_auc	std_weighted_roc_auc	maximum_weighted_roc_auc	mean_raw_roc_auc	mean_weighted_average_precision	mean_raw_average_precision	complexity_proxy	selection_rank	selected	selection_rule	status
mass_aware	0	400	3	0.05	3	0.9	0.9	5.0	0.1	0.0	5	0.7730246036630536	0.7580881399381556	0.014140931935110854	0.7962025474038176	0.8107129117653132	0.7791794503498093	0.5088525959551731	3200	10	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	1	200	2	0.03	1	0.9	0.9	5.0	0.0	0.1	5	0.7664978418143614	0.7492556132324907	0.015903072436761048	0.7917017052498477	0.7951205361484058	0.7690771782261223	0.4715269449955276	800	23	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	2	200	2	0.03	3	0.9	1.0	20.0	0.0	0.0	5	0.766987866525866	0.7484713440710341	0.017956366043066444	0.7959825943256814	0.7950407745653184	0.7695421763694793	0.4714419072231279	800	22	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	3	200	3	0.05	1	0.75	0.75	1.0	1.0	0.1	5	0.7750017788725574	0.7558509661607556	0.01586664950925656	0.8007771642160368	0.8090989229019874	0.7790180980894281	0.5002234481726765	1600	5	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	4	200	3	0.05	1	0.9	0.75	20.0	1.0	0.0	5	0.7727997600422442	0.7583201992176773	0.011559718838442798	0.7914580613718605	0.807916541510479	0.7783224334701189	0.4997097485281696	1600	11	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	5	200	3	0.05	7	0.75	0.75	20.0	0.0	0.0	5	0.7747854036771454	0.7594159924137913	0.015219888616495193	0.8019013801890579	0.80806665583103	0.7796712025113329	0.49942225169091314	1600	7	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	6	200	4	0.08	3	0.9	0.9	1.0	0.1	0.0	5	0.7772599073892563	0.7604961027339223	0.015530502429979224	0.802148658714852	0.8126302752424689	0.776893226139223	0.5108796656812662	3200	2	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	7	200	4	0.08	3	0.9	0.9	1.0	1.0	0.1	5	0.7721253317024458	0.753603871498225	0.014554026457243975	0.7926720751956224	0.8122241496534276	0.7746687659655416	0.5106814653076037	3200	13	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	8	200	5	0.03	1	0.9	0.75	20.0	0.1	0.1	5	0.7758903045623479	0.7602839780696107	0.015011386037407998	0.8004941475530926	0.8143857907917086	0.7790678787274988	0.5096759657297223	6400	4	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	9	200	5	0.08	1	1.0	0.9	5.0	0.0	0.0	5	0.776071094169412	0.7469933321297195	0.021205334154756502	0.8063806481627253	0.8132183445200212	0.7785985312748416	0.5144911514398299	6400	3	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	10	400	2	0.03	7	1.0	0.75	20.0	1.0	0.0	5	0.7696497973068597	0.752381671743674	0.012958062172817416	0.7893618935052419	0.8019098957318131	0.7738524959244287	0.48241927830135795	1600	19	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	11	400	2	0.08	7	0.9	1.0	20.0	0.1	0.1	5	0.7716771944971638	0.7570746901318821	0.010104123721777969	0.7888241956653096	0.8057739519619723	0.778256259220567	0.4988448316071879	1600	14	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	12	400	3	0.05	7	1.0	0.9	20.0	0.1	0.0	5	0.7727532854618407	0.7557911787988143	0.014418196316192237	0.7947064934313695	0.8086412996866906	0.7747773787183503	0.5000248869311026	3200	12	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
