source	working_point_definition	score_threshold	background_family	family_rows	weighted_efficiency	raw_efficiency	normalization	status
optimized_cut_baseline	r_hh_125_125_lt_34		diboson	7	0.125	0.14285714285714285	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		qcd_multijet	22863	0.17425949940658234	0.16034641123212176	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		single_higgs	1466	0.20696023617956985	0.3867667121418827	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		single_top	175	0.26658033736910747	0.24	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		top_associated	14889	0.30354386282597084	0.28813217811807373	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		triboson	159	0.1874756335282651	0.18867924528301888	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		ttbar	1947	0.3419058204807989	0.3441191576784797	within_frozen_background_family	pass
optimized_cut_baseline	r_hh_125_125_lt_34		zbbbb	5845	0.28809049149965316	0.28793840889649275	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	diboson	7	0.0	0.0	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	qcd_multijet	22863	0.02500621775647367	0.03962734549271749	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	single_higgs	1466	0.0836854753998931	0.061391541609822645	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	single_top	175	0.03598484848484849	0.022857142857142857	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	top_associated	14889	0.05261544523364523	0.033246020552085434	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	triboson	159	0.052777777777777785	0.05660377358490566	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	ttbar	1947	0.06327878124467186	0.06368772470467386	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.30	0.8444997072219849	zbbbb	5845	0.033509341547696976	0.033532934131736525	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	diboson	7	0.0	0.0	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	qcd_multijet	22863	0.11471384258062352	0.0905392993045532	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	single_higgs	1466	0.20027123015450446	0.1984993178717599	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	single_top	175	0.08198215925488653	0.07428571428571429	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	top_associated	14889	0.1161787041316342	0.08670830814695413	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	triboson	159	0.16503411306042887	0.16981132075471697	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	ttbar	1947	0.17290646550046818	0.17154596815613765	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.50	0.7381301522254944	zbbbb	5845	0.1312783725310009	0.13139435414884518	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	diboson	7	0.125	0.14285714285714285	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	qcd_multijet	22863	0.24171040313106365	0.198486637799064	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	single_higgs	1466	0.43522284120070487	0.4120054570259209	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	single_top	175	0.3281571444004599	0.24	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	top_associated	14889	0.2565492992413914	0.1908791725434885	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	triboson	159	0.3969898035687511	0.39622641509433965	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	ttbar	1947	0.3518586632852818	0.35233692860811505	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_0.70	0.575282096862793	zbbbb	5845	0.32324363253337735	0.32318220701454237	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	diboson	7	0.0	0.0	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	qcd_multijet	22863	0.15927019718615576	0.12605519835542142	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	single_higgs	1466	0.3308062330905599	0.27694406548431105	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	single_top	175	0.18110256499293934	0.12571428571428572	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	top_associated	14889	0.15975631063351606	0.12002149237692256	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	triboson	159	0.21062940470835212	0.22012578616352202	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	ttbar	1947	0.2387469519087881	0.23728813559322035	within_frozen_background_family	pass
mass_aware	weighted_signal_efficiency_equal_to_cut_baseline	0.677308976650238	zbbbb	5845	0.19413210669064918	0.1941830624465355	within_frozen_background_family	pass
explicit_dijet_mass_plane_blind	weighted_signal_efficiency_0.30	0.7598006725311279	diboson	7	0.0	0.0	within_frozen_background_family	pass
explicit_dijet_mass_plane_blind	weighted_signal_efficiency_0.30	0.7598006725311279	qcd_multijet	22863	0.06837993908689584	0.05646678038752569	within_frozen_background_family	pass
