variant	trial_id	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	mean_weighted_roc_auc	worst_fold_weighted_roc_auc	std_weighted_roc_auc	complexity_proxy	selection_rank	selection_rule	status
mass_aware	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	0.7779836457543103	0.7559568212380613	0.016493775113630493	12800	1	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	0.7356278350154333	0.7117074194501618	0.0154782409008387	12800	1	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
