variant	row_type	score_quintile	score_minimum	score_maximum	rows	weighted_fraction	spearman_score_rhh	pearson_score_rhh	median_r_hh_125_125	mean_r_hh_125_125	weighted_fraction_rhh_lt_34	raw_fraction_rhh_lt_34	weighted_fraction_rhh_lt_50	raw_fraction_rhh_lt_50	weighted_fraction_rhh_lt_80	raw_fraction_rhh_lt_80	used_in_model_selection	scientific_description	status
mass_aware	correlation_summary		0.01641569286584854	0.9817963242530823	47351	1.0	-0.5753456192266286	-0.40014683663581374	60.585960388183594	80.52442722742337	0.23672698516124344	0.23123059703068574	0.42190235395381265	0.4002872167430466	0.7217881799346929	0.6525522164262635	False	background_oof_diagnostic_not_used_in_model_selection	pass
mass_aware	weighted_background_score_quintile	1	0.01641569286584854	0.26836755871772766	15449	0.1999948776508287	-0.5753456192266286	-0.40014683663581374	86.16522979736328	107.44994508705446	0.06190379160464164	0.0722376852870736	0.12283086700838046	0.14369862126998512	0.5525564899306709	0.44002848080781926	False	background_oof_diagnostic_not_used_in_model_selection	pass
mass_aware	weighted_background_score_quintile	2	0.2683860957622528	0.36808905005455017	8763	0.19997470832857445	-0.5753456192266286	-0.40014683663581374	76.38938903808594	97.29139260178245	0.040718841409225374	0.07200730343489672	0.11949539980117661	0.19411160561451557	0.4896178709882462	0.5346342576743125	False	background_oof_diagnostic_not_used_in_model_selection	pass
mass_aware	weighted_background_score_quintile	3	0.36811280250549316	0.4882456958293915	8135	0.2000332147023929	-0.5753456192266286	-0.40014683663581374	60.20257568359375	81.85447641093084	0.09431644129812612	0.13620159803318993	0.2748367968815292	0.35894283958205286	0.6928164489431214	0.6800245851259987	False	background_oof_diagnostic_not_used_in_model_selection	pass
mass_aware	weighted_background_score_quintile	4	0.4882553517818451	0.6595545411109924	7686	0.20034441168424716	-0.5753456192266286	-0.40014683663581374	41.72331428527832	56.79006814306024	0.3674114944538811	0.33021077283372363	0.6620560176332583	0.6708300806661462	0.8846920077169212	0.8661202185792349	False	background_oof_diagnostic_not_used_in_model_selection	pass
mass_aware	weighted_background_score_quintile	5	0.6595574617385864	0.9817963242530823	7318	0.19965278763395672	-0.5753456192266286	-0.40014683663581374	23.722630500793457	27.053682601245807	0.6197185940181346	0.7592238316479912	0.9307410272682973	0.9506695818529652	0.9894132831547642	0.9875649084449303	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	correlation_summary		0.01100089494138956	0.9422215819358826	47351	1.0	-0.4918598554281287	-0.4076017207005542	60.585960388183594	80.52442722742337	0.23672698516124344	0.23123059703068574	0.42190235395381265	0.4002872167430466	0.7217881799346929	0.6525522164262635	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	weighted_background_score_quintile	1	0.01100089494138956	0.32404449582099915	14804	0.19998765782057815	-0.4918598554281287	-0.4076017207005542	92.0906982421875	115.55107541498269	0.08792347343393393	0.10841664415022967	0.1615969656602652	0.19528505809240745	0.4867639999504624	0.4040799783842205	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	weighted_background_score_quintile	2	0.32407090067863464	0.4827813506126404	11372	0.19972539838490544	-0.4918598554281287	-0.4076017207005542	72.16170120239258	88.32850422741366	0.13157493070996013	0.1362996834329933	0.27623801374399254	0.2696095673584242	0.6486894053717184	0.5795814280689413	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	weighted_background_score_quintile	3	0.48278680443763733	0.5654869675636292	5882	0.20493309212085495	-0.4918598554281287	-0.4076017207005542	55.794097900390625	67.93759268031806	0.23668891672005618	0.23308398503910235	0.3589005428241351	0.4308058483509011	0.6434129960132895	0.7616456987419246	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	weighted_background_score_quintile	4	0.5655218958854675	0.676925539970398	7588	0.19535495780379455	-0.4918598554281287	-0.4076017207005542	43.321210861206055	51.59666153342003	0.30095625970318257	0.3501581444385872	0.5755176756264619	0.6039799683711122	0.8898689212713589	0.8697944122298366	False	background_oof_diagnostic_not_used_in_model_selection	pass
explicit_dijet_mass_plane_blind	weighted_background_score_quintile	5	0.6769256591796875	0.9422215819358826	7705	0.199998893869867	-0.4918598554281287	-0.4076017207005542	34.47745132446289	39.80504805541209	0.4278315221814346	0.48877352368591825	0.742165998132277	0.763140817650876	0.9459288186401941	0.9404282933160285	False	background_oof_diagnostic_not_used_in_model_selection	pass
