path	artifact_type	model_variant	fold	rows	bytes	sha256	committed_status	retention_purpose	status
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/unittest.log	execution_log			13	1116	d22217bba26fdfc491752af4313cd88a051fa266066a35e4c6a9961f2ef9a264	False	synthetic_unittest_evidence	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/mass_aware/fold_0.json	selected_fold_xgboost_json_model	mass_aware	0		1407124	df973d401a0ecf83178f7f043a958af6f83546a392e60c4534edcba43876ba7e	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/mass_aware/fold_1.json	selected_fold_xgboost_json_model	mass_aware	1		1386891	1fd4d5e97fe4eef5a8b7bde42b0876ade57c7647304cbebaa18aa69b5f5148f4	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/mass_aware/fold_2.json	selected_fold_xgboost_json_model	mass_aware	2		1405672	64d7b3fd7237bf7d4f3e8d8a304221b1f8fc7cf74ec0f42d2726dba8e9a4f4b3	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/mass_aware/fold_3.json	selected_fold_xgboost_json_model	mass_aware	3		1383351	4996762fbcd631d936c8ce1f3ea47c126817a7930429377ff08093200f03a09f	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/mass_aware/fold_4.json	selected_fold_xgboost_json_model	mass_aware	4		1392941	440bd0e7487592b1ea496507b4aee1ffa8af13dd6602600189773ec4ab63df3d	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/oof_predictions/mass_aware.parquet	row_level_oof_prediction_parquet	mass_aware		57326	1405473	b9d72a864f8e81a52e048a3b674d05dde924890f8ef97fbb7eb297276fc05f59	False	train_only_oof_integrity_and_downstream_diagnostics	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/explicit_dijet_mass_plane_blind/fold_0.json	selected_fold_xgboost_json_model	explicit_dijet_mass_plane_blind	0		1419386	0558138f38625b3f5f40b98d93a39f4fdeb208a773ce976bd6838fa1f3e4937b	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/explicit_dijet_mass_plane_blind/fold_1.json	selected_fold_xgboost_json_model	explicit_dijet_mass_plane_blind	1		1387279	1e8e3e6fc594074982daff565555983767396f17d73ccf8ede0ec1bbc226e49d	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/explicit_dijet_mass_plane_blind/fold_2.json	selected_fold_xgboost_json_model	explicit_dijet_mass_plane_blind	2		1390106	3a20bfe8ac5b6c5573af8adb6618246bd29edc3f8af6afb0fbc0b73a9baca5fa	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/explicit_dijet_mass_plane_blind/fold_3.json	selected_fold_xgboost_json_model	explicit_dijet_mass_plane_blind	3		1399922	30667265a9f45dd0a149492e50f5900f203272fbe19d8100be6977a87b296e6c	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_fold_models/explicit_dijet_mass_plane_blind/fold_4.json	selected_fold_xgboost_json_model	explicit_dijet_mass_plane_blind	4		1390046	22b1b97307d91dd720791adf4fba3fde72f0a376f687fa9388c1920be2a30f17	False	selected_configuration_fold_model_for_oof_reproducibility	pass
outputs/agent_runs/hh4b_bdt_v1_grouped_cv_20260725_v1/oof_predictions/explicit_dijet_mass_plane_blind.parquet	row_level_oof_prediction_parquet	explicit_dijet_mass_plane_blind		57326	1405120	eedec3a65c716fced8333a74630070df8770fb34ca8a67db6555adbf08182e5f	False	train_only_oof_integrity_and_downstream_diagnostics	pass
