process_or_mode	campaign_cross_sections_pb	frozen_generator_fiducial_sigma_pb	campaign_half_spread_pb	campaign_relative_half_spread	campaign_relative_half_spread_percent	external_H_to_bb_factor	effective_reference_factor_pb	acceptance_correction_applied	additional_k_factor	filter_efficiency_multiplier	generator_cuts_embedded_in_reference	reference_label	physical_weight_application_authorized
vbf_hbb	2.7932139,2.7916625	2.7924382	0.0007756999999999348	0.0002777859148323979	0.02777859	0.5824	1.62631600768	False	1.0	1.0	True	LO generator-fiducial production-banner reference	False
vbf_hh4b	0.00142591713,0.00142783188	0.001426874505	9.573749999999088e-07	0.0006709594968899587	0.06709595	1	0.001426874505	False	1.0	1.0	True	LO generator-fiducial production-banner reference	False
