generator_weight_transport_class	sources	accounting_rows	resolved_rows	assignment_matchable_rows
not_applicable_auxiliary_qcd	23	230000	128675	0
qcd_uniform_constant	59	552013	102385	0
qcd_variable_frozen_fragment	127	1259360	35737	0
signed_exact_event_sidecar	14	68500	22914	0
uniform_member_constant	241	1690000	881361	30397
