optimized_fold_k5	sources	accounting_rows	resolved_rows	non_broad_rows	assignment_matchable_rows
0	93	743384	236021	507363	6051
1	93	801197	234702	566495	6101
2	93	796053	233135	562918	6111
3	93	743300	230914	512386	6075
4	92	715939	236300	479639	6059
