sample_class	process_or_mode	workflow_population	auxiliary_qcd	sources	accounting_rows	resolved_rows	non_broad_rows	assignment_matchable_rows	historical_parity_rows
background	bbh_hbb_4fs	primary_physical_background	False	3	30000	9448	20552	0	1012
background	ggh_hbb	primary_physical_background	False	8	80000	6124	73876	0	38
background	qcd_bbbb_general	auxiliary_qcd_classification_only	True	11	110000	32652	77348	0	3962
background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	True	12	120000	96023	23977	0	18495
background	qcd_hardqcd	primary_physical_background	False	186	1811373	138122	1673251	0	56
background	schannel_single_top	primary_physical_background	False	1	10000	2254	7746	0	8
background	tchannel_antitop	primary_physical_background	False	5	50000	11942	38058	0	19
background	tchannel_top	primary_physical_background	False	6	60000	13430	46570	0	19
background	ttbar_inclusive	primary_physical_background	False	81	810000	525672	284328	0	2745
background	tth_hbb	primary_physical_background	False	2	20000	18400	1600	0	2411
background	tttt	primary_physical_background	False	3	30000	29807	193	0	5803
background	ttw	primary_physical_background	False	4	40000	31544	8456	0	232
background	ttz_zbb	primary_physical_background	False	3	30000	27191	2809	0	3169
background	tw_antitop	primary_physical_background	False	4	40000	18735	21265	0	64
background	tw_top	primary_physical_background	False	5	50000	23210	26790	0	47
background	vbf_hbb	primary_physical_background	False	3	30000	7417	22583	0	20
background	wh_hbb	primary_physical_background	False	4	40000	8533	31467	0	28
background	ww	primary_physical_background	False	2	20000	1767	18233	0	0
background	wwz_zbb	primary_physical_background	False	4	20800	9999	10801	0	33
background	wz_zbb	primary_physical_background	False	4	40000	4983	35017	0	7
background	wzz_zbb	primary_physical_background	False	4	13200	6079	7121	0	68
background	zbbbb	primary_physical_background	False	19	190000	54948	135052	0	5544
background	zzz_zbb	primary_physical_background	False	3	4500	2154	2346	0	45
signal	ggf_hh4b	primary_physical_signal	False	80	80000	46340	33660	16391	4893
signal	vbf_hh4b	primary_physical_signal	False	7	70000	44298	25702	14006	4444
