threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows
0.01,321.19609499999996,7125344.046630663,4.5077976992827855e-05,0.1203281770018816,202,6111
0.02,321.19609499999996,7079118.198727147,4.5372331127025436e-05,0.12072040249704072,202,5996
0.03,317.72483452577313,7017588.0469985735,4.527550383378007e-05,0.1199381172257543,199,5837
0.04,311.13099157731955,6949419.857040831,4.477078633579694e-05,0.11802363808302475,195,5698
0.05,308.00840910309273,6872835.837863633,4.4815330435541834e-05,0.11748829146293961,194,5555
0.060000000000000005,307.8340701030927,6796169.55578829,4.5295231023321186e-05,0.11808223965596533,193,5400
0.06999999999999999,307.6597311030927,6713222.978744808,4.582891586905353e-05,0.11874220788337764,192,5267
0.08,307.48539210309275,6614432.223630828,4.648704253171806e-05,0.11955787929107173,191,5125
0.09,304.1884706288659,6532220.716269398,4.656739014822976e-05,0.11901791121662204,189,5001
0.09999999999999999,304.1884706288659,6400014.799462017,4.752933862816003e-05,0.12024091162038601,189,4904
0.11,300.8915491546391,6302082.048585039,4.774478447518723e-05,0.11985825864242085,187,4808
0.12,297.5946276804123,6155732.979384825,4.834430419204969e-05,0.11994584280624997,185,4708
0.13,297.07161068041233,6085828.657316571,4.8813666537138486e-05,0.12042073966474494,182,4604
0.14,297.07161068041233,5984740.413123559,4.963817812865914e-05,0.12143349425888225,182,4507
0.15000000000000002,297.07161068041233,5889258.838776578,5.044295365732734e-05,0.12241392686479602,182,4414
0.16,297.07161068041233,5832398.229259305,5.0934726848742534e-05,0.12300919211393425,182,4327
0.17,296.8972716804123,5730933.28840919,5.180609452929541e-05,0.1240205149246097,181,4241
0.18000000000000002,296.8972716804123,5609229.922296681,5.293013048016557e-05,0.12535873056652014,181,4152
0.19,296.8972716804123,5548690.948777094,5.350762448678947e-05,0.12604073835164492,181,4074
0.2,296.8972716804123,5467327.829345435,5.4303908773649986e-05,0.12697512495161675,181,3995
0.21000000000000002,296.8972716804123,5380819.926160289,5.5176957369817776e-05,0.12799175013541034,181,3921
0.22,293.7746892061855,5278362.861663957,5.5656402734232563e-05,0.12786884849557167,180,3835
0.23,290.4777677319587,5208286.17753138,5.577223636156628e-05,0.1272815568718695,178,3754
0.24000000000000002,290.4777677319587,5142464.387348223,5.648610196438273e-05,0.1280935470915444,178,3677
0.25,287.1808462577319,5086151.402639317,5.64632909096468e-05,0.12733882230462504,176,3603
0.26,287.0065072577319,5021236.416077693,5.715853297382186e-05,0.12808150104051919,175,3525
0.27,283.18656878350515,4837492.647494294,5.8539948154792354e-05,0.12875452246317381,170,3451
0.28,283.18656878350515,4723580.908141594,5.995167105011432e-05,0.130297766740337,170,3387
0.29000000000000004,283.18656878350515,4593801.818962246,6.164536041031867e-05,0.13212546346567974,170,3313
0.3,279.88964730927836,4530660.612023279,6.177678517047135e-05,0.1314940402195639,168,3235
0.31,279.88964730927836,4430287.575561468,6.317640616677279e-05,0.13297526852872213,168,3164
0.32,279.7153083092783,4350833.240045622,6.429005500250919e-05,0.13410038238665586,167,3080
0.33,276.2440478350515,4219586.0624665655,6.546709647476004e-05,0.13448009417826692,164,2999
0.34,272.9471263608247,4127631.7748479834,6.612681102613061e-05,0.134347024697191,162,2927
0.35000000000000003,272.42410936082473,3974553.9625868783,6.854205828507982e-05,0.13664738995703724,159,2856
0.36000000000000004,269.3015268865979,3908022.1985057793,6.890992763284829e-05,0.13622609415662995,158,2789
0.37,269.12718788659794,3784783.5246963087,7.110768320843204e-05,0.13833658525139464,157,2717
0.38,265.83026641237115,3689633.039809945,7.204788756609362e-05,0.13839259064756043,155,2649
0.39,262.7076839381443,3626783.0870392253,7.243545523220398e-05,0.1379469125390541,154,2585
0.4,262.53334493814435,3506917.995322338,7.48615580085766e-05,0.1401914948606817,153,2507
0.41000000000000003,249.8686760412371,3448960.360613249,7.244753488463079e-05,0.13454504682103327,148,2445
0.42000000000000004,249.8686760412371,3371895.464805577,7.410332812783226e-05,0.13607387879218705,148,2391
0.43,249.8686760412371,3270570.030238326,7.639912117186165e-05,0.1381656515126937,148,2317
0.44,246.7460935670103,3182651.337995833,7.752847150463874e-05,0.13831069186433448,147,2241
0.45,243.4491720927835,3017566.925212647,8.067730662696991e-05,0.14014572239284173,145,2174
0.46,230.95884219587626,2920635.0623789136,7.907829539228904e-05,0.13514374401586843,141,2117
0.47000000000000003,227.31324272164946,2851878.794193565,7.970648794207524e-05,0.13460438417847753,137,2040
0.48000000000000004,217.94549529896904,2772863.6717612627,7.859942683750291e-05,0.13088311966145463,134,1964
0.49,217.77115629896903,2698230.9513264517,8.070886452173881e-05,0.13257474401437064,133,1899
0.5,214.64857382474224,2621799.7590659144,8.187069705934235e-05,0.13256480815746446,132,1827
0.51,214.47423482474224,2513625.6105538323,8.532465372895636e-05,0.13527727015357754,131,1748
0.52,207.88039187628866,2383816.910888084,8.720484821078117e-05,0.13464092252940582,127,1678
0.53,204.75780940206184,2288174.711105564,8.948521649517322e-05,0.13536172613933717,126,1614
0.54,197.98962745360816,2214118.8606407996,8.942140865748597e-05,0.1330583007048884,121,1527
0.55,194.69270597938143,2120453.959974462,9.181652120460387e-05,0.13370118536100412,119,1465
