process_or_mode	campaign	weight_classification	lhe_event_count	manifest_generated_events	lhe_count_matches_manifest_campaign_count	lhe_count_matches_representative_run_card_nevents	ngen_denominator_candidate_supported_by_canary	equivalent_campaigns_covered_by_configuration_only	denominator_generalization_authorized	normalization_denominator_authorized	required_next_action	status
vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	uniform_positive	10000	90000	False	True	True	vbf_hh4b_sm_pilot10k_20260722_v1,vbf_hh4b_sm_scaleout90k_20260722_v1	False	False	scale weight audit across all standard groups and campaigns	canary_evidence_only_fail_closed
ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	uniform_positive	10000	10000	True	True	True	unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1	False	False	scale weight audit across all standard groups and campaigns	canary_evidence_only_fail_closed
qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	uniform_positive	10000	140000	False	True	True	unified_background_5m_wavea_pilots_20260720_retry1,unified_background_5m_wavea_proven111_20260720_v1	False	False	scale weight audit across all standard groups and campaigns	canary_evidence_only_fail_closed
tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	uniform_positive	10000	70000	False	True	True	unified_background_5m_single_top_pilot50k_20260722_v1,unified_background_5m_single_top_scaleout280k_20260722_v1	False	False	scale weight audit across all standard groups and campaigns	canary_evidence_only_fail_closed
tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	uniform_positive	10000	10000	True	True	True	unified_background_5m_waveb_priority_pilots10k_20260721_v1,unified_background_5m_waveb_priority_scale400k_20260721_v1	False	False	scale weight audit across all standard groups and campaigns	canary_evidence_only_fail_closed
wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	signed_uniform_magnitude	46800	20800	False	True	False	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	False	False	review signed or variable generator weights	canary_evidence_only_fail_closed
