selection_id	scope	source_uid	sample_class	source_fold	total_rows	selected_rows	negative_weight_rows	selected_negative_weight_rows	total_signed_yield	selected_signed_yield	total_sumw2	selected_sumw2
historical_rhh125125_lt34	exact3tag	553eefefde62b55ae18e586a::background::215::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9817_seed1229817_bundle.tar.gz	background	0	3	1	0	0	1362198.7777612538	454066.25925375125	618528503378.0846	206176167792.69485
historical_rhh125125_lt34	exact3tag	56030d6bc179bd05eafe89e4::background::397::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard026_10k_bundle.tar.gz	background	0	379	215	0	0	42717.821438933155	24233.06493237632	4814808.096275926	2731355.5163570554
historical_rhh125125_lt34	exact3tag	5a235681023ea8bbb34fd880::background::427::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_bundle.tar.gz	background	0	389	215	0	0	43915.740436481414	24272.195871062988	4957820.714869944	2740183.685596498
historical_rhh125125_lt34	exact3tag	5b4a3b95ebeef7f13fa5fded::background::320::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9922_1500_bundle.tar.gz	background	0	54	18	0	0	10.441252393505705	3.4804174645019006	2.0188842878683055	0.6729614292894353
historical_rhh125125_lt34	exact3tag	5bbd2742ab71e70d654ef04a::background::430::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard063_10k_bundle.tar.gz	background	0	390	211	0	0	44041.96047773365	23827.829899491793	4973575.083903212	2690831.6479578917
historical_rhh125125_lt34	exact3tag	5c4621b09ef7a6bc49957556::background::122::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1151_seed1221151_bundle.tar.gz	background	0	5	3	0	0	2274231.555430704	1364538.9332584224	1034425833543.3519	620655500126.0111
historical_rhh125125_lt34	exact3tag	6313c1575ba1599e63fd3a9e::background::86::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1107_seed1211107_bundle.tar.gz	background	0	5	2	0	0	3518981.2155204797	1407592.4862081918	2476645759037.198	990658303614.8794
historical_rhh125125_lt34	exact3tag	6459ce30eae5248fb3fd495b::signal::72::ggf_shard_072	signal	0	186	114	0	0	2.680917099196076	1.6431427382169497	0.03864148652022531	0.023683491738202608
historical_rhh125125_lt34	exact3tag	66f7a8f538a41bb2bdcea168::background::70::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1086_seed1201086_bundle.tar.gz	background	0	2	1	0	0	3723463.137063218	1861731.568531609	6932088866534.329	3466044433267.1646
historical_rhh125125_lt34	exact3tag	67adedb754dee181165dd546::background::181::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1862_seed1221862_bundle.tar.gz	background	0	5	0	0	0	2268376.303637527	0.0	1029106210980.8502	0.0
historical_rhh125125_lt34	exact3tag	70527a5196e3e28bdb208be1::signal::62::ggf_shard_062	signal	0	189	119	0	0	2.723389544834625	1.71472675045143	0.03924259583552672	0.024708301081627936
historical_rhh125125_lt34	exact3tag	7299aaf40b9bfc83f4dd155f::signal::60::ggf_shard_060	signal	0	182	111	0	0	2.6236855673733874	1.6001598790024505	0.03782267009034842	0.02306767241773997
historical_rhh125125_lt34	exact3tag	7429c3d966fb7ecfabba6c41::background::185::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1867_seed1251867_bundle.tar.gz	background	0	37	7	0	0	77791.73689979358	14717.355629690677	163555522.42937043	30942936.675826844
historical_rhh125125_lt34	exact3tag	80c7d2da2e1ad4813c224b91::background::127::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1159_seed1221159_bundle.tar.gz	background	0	4	1	0	0	1802527.2532228217	450631.81330570544	812276124652.7527	203069031163.18817
historical_rhh125125_lt34	exact3tag	80d4a63426959c0870cb3a41::background::126::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1157_seed1221157_bundle.tar.gz	background	0	6	3	0	0	2705817.0699146413	1352908.5349573204	1220241002640.2422	610120501320.1211
historical_rhh125125_lt34	exact3tag	84d9ec75dcf07041d6945f6c::signal::7::ggf_shard_007	signal	0	184	117	0	0	2.655802759160763	1.6887441457707029	0.0383330885628583	0.02437484435790447
historical_rhh125125_lt34	exact3tag	84f08406cedb048d5f986059::background::408::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard038_10k_bundle.tar.gz	background	0	372	204	0	0	41947.14445018636	23003.27276300542	4730007.869690322	2593875.283378564
historical_rhh125125_lt34	exact3tag	897007d036f86df65467037d::background::138::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1175_seed1221175_bundle.tar.gz	background	0	6	3	0	0	2703567.5047707367	1351783.752385368	1218212875475.3777	609106437737.6888
historical_rhh125125_lt34	exact3tag	8a6581b66ffa055a82a21b1c::background::465::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	background	0	946	336	0	0	3614.868056048994	1283.9277662076765	13813.182941483556	4906.162228687605
historical_rhh125125_lt34	exact3tag	918b60151d7c097d565fa0e3::background::282::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4310_10kevt_bundle.tar.gz	background	0	62	29	0	0	8554.639060567022	4001.363431555542	1180352.4105899837	552100.3210824119
historical_rhh125125_lt34	exact3tag	949cf023bb5efb88e9e4ecb2::background::332::event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	background	0	431	252	0	0	48518.14917243278	28367.92016578436	5461741.993314244	3193408.3116361694
historical_rhh125125_lt34	exact3tag	94d4f046f8102bec1240f515::background::429::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_bundle.tar.gz	background	0	372	196	0	0	41967.0211012928	22111.656279175775	4734491.559452568	2494517.0582061918
historical_rhh125125_lt34	exact3tag	970925546e011b12db8c1200::signal::47::ggf_shard_047	signal	0	169	96	0	0	2.4308579206281014	1.3808423691141878	0.03496491260520933	0.019861725503550864
historical_rhh125125_lt34	exact3tag	9e0bec62ea0ce2ff4577fa44::background::401::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard030_10k_bundle.tar.gz	background	0	374	215	0	0	42143.025775348695	24226.60572647051	4748755.672464451	2729899.6512830397
historical_rhh125125_lt34	exact3tag	9e8e6b731592ac3250ce3825::signal::66::ggf_shard_066	signal	0	167	102	0	0	2.395763007900718	1.4632804000351691	0.034369343652847266	0.020992054207128272
historical_rhh125125_lt34	exact3tag	a0d0a6f3bb42379649efa777::background::475::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard023_10k_bundle.tar.gz	background	0	948	329	0	0	3626.0233690227496	1258.398405494182	13869.246279218441	4813.27217918024
