scope	metric	difference_definition	nominal_difference	difference_mean	difference_std	difference_p2p5	difference_p16	difference_median	difference_p84	difference_p97p5	ratio_mean	ratio_std	ratio_p2p5	ratio_p16	ratio_median	ratio_p84	ratio_p97p5	bootstrap_replicas	bootstrap_seed	bootstrap_unit	selection_reoptimization_inside_bootstrap	validation_payloads_opened	test_payloads_opened
exact3tag	signal_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.028457270796524714	0.02850160645125192	0.00150485502228984	0.025551955580128287	0.026998665035542935	0.028501570173058988	0.029970125398519468	0.03141265117717504	1.0486656864474548	0.002666333695620692	1.0435243179674851	1.0459518143386166	1.0487158417390476	1.051297374716114	1.053933051018713	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	background_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.020687116276384865	0.020834444974304877	0.007674262870031478	0.007344531927817482	0.013184159691870563	0.020276835384286096	0.028615699438873855	0.0374476034158383	1.074949468820842	0.029926799045647823	1.0240861162998636	1.0458670294617127	1.0713436832275542	1.1040006135024223	1.1433463935360073	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	background_rejection	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.23945396057914436	-0.25158102927037757	0.11052887550444125	-0.5183697679841052	-0.35872472917467885	-0.23531419400983422	-0.14672871032272164	-0.08000485211542048	0.9309868121832735	0.025553780140141282	0.8746255803427969	0.9057965980911042	0.9334072870676842	0.9561444925648276	0.9764803801387113	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	signal_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	6.648354060482234	6.657969182715012	0.35423577691425145	5.968871099086309	6.300618410740164	6.65981469892283	7.003136340898946	7.354926713113342	1.0486656864474548	0.002666333695620693	1.0435243179674851	1.0459518143386166	1.0487158417390476	1.051297374716114	1.053933051018713	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	background_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	3439768.838446796	3466318.3183051576	1311451.1080136253	1213321.9861987014	2171100.383979677	3369530.1689191274	4746977.496029008	6242704.040019132	1.074949468820842	0.029926799045647823	1.0240861162998636	1.0458670294617127	1.0713436832275542	1.1040006135024223	1.1433463935360073	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	signal_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.08621857748880224	0.08633125478842228	0.005025071348554776	0.0765304199270112	0.08124415953582131	0.08645229935424514	0.0912624928231607	0.09639330720371722	1.0478818442758848	0.0028690922210843593	1.0422823395093384	1.0449336390952617	1.047912875022288	1.0507498539061892	1.0534323386612912	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	background_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	1704753172840.7734	1713488069806.8042	782285241645.4198	436756960488.48224	941509399076.595	1668949128799.3613	2492336302065.7876	3486451409666.1377	1.044774647047164	0.023347110466124858	1.0098620233341733	1.0224834452388412	1.041119829546481	1.0665882365643433	1.100988878376162	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	signal_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	512.532245883649	513.3445442766617	25.294686923629975	465.2343132601433	487.7938679507876	513.5107401463092	537.7875373380576	563.0192063469561	1.0494502573404225	0.0025065009821547577	1.0446664133032244	1.046940927251399	1.0494480014473442	1.0519440616506637	1.0544029166536355	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	background_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	5.756561299295036	5.86795718781733	2.181885026001942	2.0916310772468503	3.731171557189534	5.713374974821885	8.043771142414064	10.544573074515439	1.1061233372942263	0.0396888688660479	1.036767901331208	1.067639562738388	1.1024727976196855	1.1444204021442823	1.1951915960220927	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	signal_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.00023360561661464434	-0.00023401106694741967	1.1707326856759638e-05	-0.00025671449864019745	-0.00024570277416292115	-0.0002340414842276952	-0.0002219930957476965	-0.0002113925259943403	0.976157733543283	0.001165643862149045	0.9738603870027868	0.9749978922486795	0.9761566957677111	0.9773247816835996	0.9783881499275251	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
