row,event_id,split,ww_mode,n_jets,target_pos_0,target_pos_1
0,1,1,1,5,3,1
1,2,0,4,9,5,6
2,4,0,0,5,2,4
3,8,0,1,7,2,5
4,19,0,1,8,1,5
5,22,0,0,4,0,2
6,23,0,1,5,0,1
7,27,0,2,6,0,2
8,28,0,0,6,1,3
9,32,0,0,7,1,4
10,34,0,0,4,0,3
11,37,0,1,7,3,4
12,38,0,1,7,0,6
13,42,0,1,6,1,2
14,43,0,1,5,3,4
15,46,1,1,6,0,4
16,47,0,0,8,3,7
17,49,0,0,7,3,4
18,52,0,0,5,0,2
19,53,0,2,7,2,4
20,56,1,1,5,0,2
21,58,0,0,7,2,5
22,59,0,1,5,0,4
23,62,0,0,7,1,3
24,63,0,1,4,0,1
25,64,0,0,5,1,0
26,68,0,0,7,4,5
27,69,0,0,4,0,2
28,71,1,1,8,0,5
29,73,0,0,4,0,1
30,76,1,0,8,1,5
31,77,0,0,3,2,1
32,78,0,1,6,2,3
33,79,0,1,4,0,1
34,81,1,1,5,2,0
35,82,0,4,5,0,3
36,83,0,4,4,0,3
37,86,1,1,5,1,3
38,88,0,2,5,0,1
39,89,0,1,6,0,1
40,91,1,2,6,2,1
41,92,0,1,6,2,3
42,96,1,1,8,1,2
43,97,0,2,7,1,3
44,98,0,1,6,0,2
45,102,0,0,2,0,1
46,104,0,0,5,1,3
47,108,0,0,3,0,2
48,109,0,1,8,1,6
49,112,0,1,6,0,2
50,113,0,1,4,0,3
51,114,0,1,9,3,5
52,117,0,1,6,0,2
53,119,0,1,7,2,4
54,121,1,1,4,0,1
55,123,0,3,8,5,6
56,124,0,2,7,1,0
57,126,1,1,8,1,3
58,128,0,3,5,1,4
59,129,0,0,7,2,5
60,131,1,1,10,2,1
61,132,0,1,9,0,4
62,133,0,1,10,4,7
63,134,0,0,7,1,4
64,136,1,1,6,0,4
65,138,0,2,4,0,3
66,139,0,2,5,0,4
67,141,1,1,9,1,5
68,148,0,1,6,0,3
69,151,1,0,3,0,1
70,153,0,0,6,0,3
71,154,0,0,4,0,2
72,156,1,2,5,0,2
73,159,0,0,7,1,3
74,162,0,1,8,4,6
75,163,0,4,5,1,4
76,164,0,0,5,0,1
77,166,1,0,5,1,3
78,167,0,1,7,0,5
79,168,0,1,8,1,5
80,169,0,0,3,0,2
81,174,0,1,5,2,4
82,176,1,1,4,0,3
83,177,0,1,7,0,4
84,179,0,0,7,1,4
85,181,1,4,6,2,4
86,184,0,0,4,0,2
87,187,0,1,3,0,1
88,191,1,0,6,1,2
89,193,0,0,10,2,9
90,194,0,0,3,0,1
91,196,1,1,7,4,5
92,197,0,2,4,0,1
93,198,0,1,5,2,4
94,199,0,4,7,3,6
95,201,1,0,4,0,3
96,202,0,0,5,1,4
97,206,1,1,4,1,2
98,209,0,0,4,0,2
99,213,0,1,7,2,4
100,216,1,1,5,0,4
101,219,0,1,6,0,1
102,221,1,1,5,2,0
103,223,0,0,7,3,4
104,224,0,0,7,0,3
105,229,0,0,6,2,3
106,234,0,5,3,0,2
107,236,1,1,4,1,2
108,237,0,0,4,0,3
109,238,0,0,6,1,5
110,239,0,0,7,0,3
111,247,0,1,4,0,2
112,248,0,1,5,0,4
113,249,0,1,8,0,3
114,251,1,1,5,1,0
115,252,0,1,8,0,7
116,256,1,1,7,5,6
117,257,0,1,5,0,3
118,258,0,0,7,1,2
119,262,0,0,5,1,3
120,263,0,1,7,2,5
121,264,0,0,5,2,3
122,266,1,1,6,0,2
123,267,0,1,7,0,6
124,269,0,0,7,3,6
125,277,0,0,2,0,1
126,279,0,3,5,3,0
127,286,1,0,7,1,5
128,287,0,1,5,0,4
129,291,1,0,6,3,5
130,297,0,1,6,0,1
131,298,0,0,5,1,2
132,301,1,1,5,0,3
133,302,0,0,7,0,2
134,306,1,1,4,0,3
135,312,0,1,7,3,4
136,313,0,1,3,0,1
137,316,1,0,5,1,2
138,318,0,1,4,0,2
139,319,0,0,8,2,3
140,321,1,0,7,0,4
141,326,1,0,4,0,1
142,327,0,1,8,0,2
143,331,1,3,7,2,5
144,333,0,0,6,3,2
145,334,0,4,6,1,2
146,336,1,0,7,0,3
147,337,0,0,8,0,3
148,338,0,2,7,0,3
149,339,0,3,5,1,3
150,344,0,0,5,1,3
151,346,1,1,8,1,3
152,347,0,2,7,2,4
153,348,0,0,8,1,3
154,349,0,1,6,3,2
155,351,1,0,4,0,3
156,353,0,1,5,0,1
157,354,0,1,4,0,2
158,358,0,0,6,1,4
159,359,0,1,8,2,6
160,361,1,1,5,0,1
161,362,0,0,6,1,3
162,363,0,1,7,2,3
163,364,0,1,7,1,0
164,367,0,1,7,0,3
165,369,0,2,9,4,7
166,371,1,1,5,0,4
167,377,0,1,5,0,4
168,378,0,4,6,0,1
169,379,0,1,5,0,2
170,382,0,0,5,1,2
171,384,0,0,7,4,5
