sample_class	process_or_mode	campaign	members	generated_events	per_shard_events	generator_weight_convention	effective_generator_numerator	normalization_denominator_type	normalization_denominator	normalization_denominator_authorized	denominator_scope	split_combination_policy	physical_weight_application_authorized	status
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	1000	LO_MG5_unweighted_equal_probability_events	1	full_campaign_generated_event_count	20000	True	full_campaign_across_train_validation_and_evaluation_shards	do_not_renormalize_each_split_independently	False	ggf_campaign_equal_event_denominator_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	1000	LO_MG5_unweighted_equal_probability_events	1	full_campaign_generated_event_count	80000	True	full_campaign_across_train_validation_and_evaluation_shards	do_not_renormalize_each_split_independently	False	ggf_campaign_equal_event_denominator_frozen
