campaign	source_tag	shard	seed	n_events	remote_bundle_path	structured_metadata_proven	payload_sha256	payload_equivalence_scope	status
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard010_seed86010	10	86010	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard010_seed86010_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard011_seed86011	11	86011	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard011_seed86011_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard012_seed86012	12	86012	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard012_seed86012_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard013_seed86013	13	86013	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard013_seed86013_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard014_seed86014	14	86014	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard014_seed86014_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard015_seed86015	15	86015	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard015_seed86015_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard016_seed86016	16	86016	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard016_seed86016_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard017_seed86017	17	86017	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard017_seed86017_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard018_seed86018	18	86018	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard018_seed86018_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext20k_frozen_v2_20260716	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard019_seed86019	19	86019	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard019_seed86019_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
