score	checkpoint	relative_path	file_type	column_count	matched_terms	columns_json	first_row_json	read_status
36	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	ordinary_campaign_run2_allocation_registry.tsv	tsv	18	run2_yield_coefficient,cross_section_coefficient,effective_reference_factor_pb,campaign_sumw	"[""sample_class"", ""process_or_mode"", ""campaign"", ""members"", ""generated_events"", ""campaign_sumw"", ""campaign_sumw2"", ""process_effective_reference_factor_pb"", ""process_denominator_sumw"", ""campaign_sumw_fraction_of_process"", ""cross_section_coefficient_pb_per_generator_weight"", ""run2_luminosity_pb_inverse"", ""run2_yield_coefficient_per_generator_weight"", ""analytical_campaign_run2_yield_contribution"", ""analytical_campaign_physical_weight_sum_squared"", ""coefficient_construction_authorized"", ""candidate_physical_weight_application_authorized"", ""selected_physical_yield_calculation_authorized""]"	"[""background"", ""bbh_hbb_4fs"", ""bbh_hbb_4fs_pilot10k_20260722_v1"", ""1"", ""10000"", ""287.09711506962776"", ""8.24247534813031"", ""0.5277"", ""1434.6193888299167"", ""0.20012075488801647"", ""0.00036783275348759573"", ""138000.0"", ""50.760919981288211"", ""14573.313684908069"", ""21238.147175872883"", ""True"", ""False"", ""False""]"	pass
32	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	hard_qcd_shard_run2_coefficient_registry.tsv	tsv	30	run2_yield_coefficient,cross_section_coefficient,pthat,shard	"[""sample_class"", ""process_or_mode"", ""campaign"", ""campaign_role"", ""source_tag"", ""bin_index"", ""pthat_min_GeV"", ""pthat_max_GeV"", ""n_events"", ""bin_total_generated_events"", ""production_mixture_fraction"", ""sigma_gen_pb"", ""sum_event_weights"", ""sum_squared_event_weights"", ""weights_uniform_positive"", ""per_event_weight_transport_required"", ""cross_section_coefficient_pb_per_generator_weight"", ""frozen_source_cross_section_coefficient"", ""run2_luminosity_pb_inverse"", ""run2_yield_coefficient_per_generator_weight"", ""frozen_source_run2_yield_coefficient"", ""analytical_shard_cross_section_contribution_pb"", ""analytical_shard_run2_yield"", ""analytical_physical_weight_sum_squared"", ""denominator_effective_events"", ""coefficient_formula_closure_pass"", ""run2_analytical_yield_closure_pass"", ""coefficient_construction_authorized"", ""candidate_physical_weight_application_authorized"", ""selected_physical_yield_calculation_authorized""]"	"[""background"", ""qcd_hardqcd"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718"", ""nominal_production_extension"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033"", ""0"", ""50"", ""75"", ""10000"", ""1340375"", ""0.0074605987130467221"", ""18237123.453281954"", ""10000.146754329471"", ""10000.298022688956"", ""False"", ""True"", ""13.605786305718332"", ""13.605786305718333"", ""138000.0"", ""1877598.5101891297"", ""1877598.51018913"", ""136059.85976522954"", ""18776260647.601676"", ""35254812296728809"", ""9999.9954882581295"", ""True"", ""True"", ""True"", ""False"", ""False""]"	pass
29	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	ordinary_process_run2_coefficient_registry.tsv	tsv	30	run2_yield_coefficient,cross_section_coefficient,effective_reference_factor_pb	"[""sample_class"", ""process_or_mode"", ""batch"", ""campaigns"", ""generated_events"", ""reference_class"", ""sigma_reference_pb"", ""external_branching_factor"", ""external_H_to_bb_power"", ""additional_k_factor"", ""filter_efficiency_multiplier"", ""effective_reference_factor_pb"", ""process_denominator_sumw"", ""process_denominator_sumw2"", ""negative_weight_events"", ""zero_weight_events"", ""positive_weight_events"", ""weight_convention_class"", ""cross_section_coefficient_pb_per_generator_weight"", ""run2_luminosity_pb_inverse"", ""run2_yield_coefficient_per_generator_weight"", ""analytical_run2_reference_yield"", ""reconstructed_run2_denominator_yield"", ""analytical_physical_weight_sum_squared"", ""denominator_effective_events"", ""campaign_denominator_closure_pass"", ""run2_analytical_yield_closure_pass"", ""coefficient_construction_authorized"", ""candidate_physical_weight_application_authorized"", ""selected_physical_yield_calculation_authorized""]"	"[""background"", ""bbh_hbb_4fs"", ""A"", ""2"", ""50000"", ""authoritative_inclusive_13TeV"", ""0.5277"", ""1"", ""0"", ""1"", ""1"", ""0.5277"", ""1434.6193888299167"", ""41.16635819828508"", ""1"", ""0"", ""49999"", ""signed_generator_weights"", ""0.00036783275348759573"", ""138000.0"", ""50.760919981288211"", ""72822.60000"", ""72822.600000000000"", ""106072.16123590856"", ""49995.503145878520"", ""True"", ""True"", ""True"", ""False"", ""False""]"	pass
26	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	nominal_zero_coefficient_exclusion_registry.tsv	tsv	8	run2_yield_coefficient,cross_section_coefficient,shard	"[""population"", ""members_or_shards"", ""generated_events"", ""nominal_cross_section_coefficient"", ""nominal_run2_yield_coefficient"", ""nominal_physical_yield_contribution"", ""reason"", ""exclusion_closure_pass""]"	"[""qcd_bbbb_general_and_qcd_bbbb_iht400to600"", ""30"", ""300000"", ""0"", ""0"", ""0"", ""retain_in_raw_inventory_but_never_add_to_nominal_qcd_hardqcd_prediction"", ""True""]"	pass
23	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	hard_qcd_shard_weight_contract.tsv	tsv	37	run2_yield_coefficient,pthat,shard	"[""sample_class"", ""process_or_mode"", ""campaign"", ""campaign_role"", ""source_tag"", ""remote_bundle_path"", ""bundle_basename"", ""bin_index"", ""pthat_min_GeV"", ""pthat_max_GeV"", ""shard_id"", ""seed"", ""n_events"", ""sigma_gen_pb"", ""sum_event_weights"", ""sum_squared_event_weights"", ""min_event_weight"", ""max_event_weight"", ""event_weight_convention"", ""effective_events"", ""weights_uniform_positive"", ""metadata_complete"", ""production_included"", ""bin_total_generated_events"", ""production_mixture_fraction"", ""generator_coefficient_pb_per_event_weight"", ""normalization_denominator_type"", ""normalization_denominator"", ""denominator_authorized"", ""per_event_weight_transport_required"", ""status"", ""coefficient_formula"", ""run2_luminosity_pb_inverse"", ""run2_yield_coefficient_per_generator_weight"", ""hard_qcd_global_weight_contract_frozen"", ""event_level_weight_application_authorized"", ""physical_yield_calculation_authorized""]"	"[""background"", ""qcd_hardqcd"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718"", ""nominal_production_extension"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033"", ""/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz"", ""0"", ""50"", ""75"", ""1033"", ""1201033"", ""10000"", ""18237123.453281954"", ""10000.146754329471"", ""10000.298022688956"", ""1"", ""1.0420168291999075"", ""pythia_info_weight_normalized_to_sigma_gen"", ""9999.9954882581296"", ""False"", ""True"", ""True"", ""1340375"", ""0.0074605987130467221"", ""13.605786305718333"", ""shard_sum_event_weights"", ""10000.146754329471"", ""True"", ""True"", ""qcd_production_shard_denominator_frozen"", ""(n_events/bin_total_generated_events)*(sigma_gen_pb/normalization_denominator)"", ""138000"", ""1877598.51018913"", ""True"", ""False"", ""False""]"	pass
23	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	hard_qcd_testfill_exclusion_contract.tsv	tsv	36	run2_yield_coefficient,pthat,shard	"[""sample_class"", ""process_or_mode"", ""campaign"", ""campaign_role"", ""source_tag"", ""remote_bundle_path"", ""bundle_basename"", ""bin_index"", ""pthat_min_GeV"", ""pthat_max_GeV"", ""shard_id"", ""seed"", ""n_events"", ""sigma_gen_pb"", ""sum_event_weights"", ""sum_squared_event_weights"", ""min_event_weight"", ""max_event_weight"", ""event_weight_convention"", ""effective_events"", ""weights_uniform_positive"", ""metadata_complete"", ""production_included"", ""bin_total_generated_events"", ""production_mixture_fraction"", ""generator_coefficient_pb_per_event_weight"", ""normalization_denominator_type"", ""normalization_denominator"", ""denominator_authorized"", ""per_event_weight_transport_required"", ""status"", ""testfill_exclusion_reason"", ""nominal_production_normalization_included"", ""run2_yield_coefficient_per_generator_weight"", ""hard_qcd_global_weight_contract_frozen"", ""nominal_physical_yield_contribution""]"	"[""background"", ""qcd_hardqcd"", ""qcd_hardqcd_importance_testfill_bin3_10k_20260717"", ""diagnostic_testfill_excluded"", ""qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909"", ""/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz"", ""qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz"", ""3"", ""200"", ""300"", ""3909"", ""1233909"", ""10000"", ""51056.185427030367"", ""10000"", ""10000"", ""1"", ""1"", ""pythia_info_weight_normalized_to_sigma_gen"", ""10000"", ""True"", ""True"", ""False"", """", """", """", """", """", ""False"", ""False"", ""qcd_testfill_explicitly_excluded"", ""diagnostic duplicate of nominal [200,300) pTHat bin"", ""False"", ""0"", ""excluded_testfill"", ""0""]"	pass
13	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	hard_qcd_exclusive_bin_weight_contract.tsv	tsv	31	pthat,shard	"[""nominal_bin_index"", ""pthat_min_GeV"", ""pthat_max_GeV"", ""interval_semantics"", ""production_campaigns"", ""production_shards"", ""resolved_normalization_shards"", ""unresolved_normalization_shards"", ""generated_events"", ""resolved_generated_events"", ""sum_event_weights"", ""sum_squared_event_weights"", ""effective_events"", ""event_count_weighted_sigma_gen_pb"", ""between_shard_sigma_rms_pb"", ""empirical_sigma_standard_error_pb"", ""minimum_shard_sigma_gen_pb"", ""maximum_shard_sigma_gen_pb"", ""relative_between_shard_sigma_rms"", ""partial_resolved_coefficient_sum_pb"", ""variable_weight_shards"", ""all_three_production_campaigns_present"", ""bin_normalization_metadata_complete"", ""coefficient_cross_section_closure_pass"", ""denominator_and_stitching_authorized"", ""physical_weight_application_authorized"", ""status"", ""hard_qcd_global_weight_contract_frozen"", ""run2_luminosity_pb_inverse"", ""event_level_weight_application_authorized"", ""physical_yield_calculation_authorized""]"	"[""0"", ""50"", ""75"", ""[50,75)"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717"", ""135"", ""135"", ""0"", ""1340375"", ""1340375"", ""1340380.8077248887"", ""1340386.7936584903"", ""1340374.821818019"", ""18207297.593931224"", ""96914.915011452729"", ""8365.2794964200693"", ""17938437.172089513"", ""18464664.637645438"", ""0.0053228610402762892"", ""18207297.593931209"", ""114"", ""True"", ""True"", ""True"", ""True"", ""False"", ""qcd_exclusive_bin_denominator_stitching_frozen"", ""True"", ""138000"", ""False"", ""False""]"	pass
13	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	hard_qcd_bin_run2_analytical_closure.tsv	tsv	18	pthat,shard	"[""bin_index"", ""pthat_min_GeV"", ""pthat_max_GeV"", ""interval_semantics"", ""production_campaigns"", ""production_shards"", ""generated_events"", ""sum_event_weights"", ""event_count_weighted_sigma_gen_pb"", ""source_shard_cross_section_sum_pb"", ""run2_luminosity_pb_inverse"", ""analytical_bin_run2_yield"", ""source_shard_run2_yield_sum"", ""analytical_physical_weight_sum_squared"", ""coefficient_cross_section_closure_pass"", ""run2_analytical_yield_closure_pass"", ""candidate_physical_weight_application_authorized"", ""selected_physical_yield_calculation_authorized""]"	"[""0"", ""50"", ""75"", ""[50,75)"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717"", ""135"", ""1340375"", ""1340380.8077248887"", ""18207297.593931224"", ""18207297.593931225"", ""138000.0"", ""2512607067962.5089"", ""2512607067962.5091"", ""4.7101549859194896e+18"", ""True"", ""True"", ""False"", ""False""]"	pass
13	hh4b_physical_normalization_train_candidate_physical_weight_sidecar_materialization_20260731_v1	train_candidate_physical_weight_sidecar_registry.tsv	tsv	22	transport_id,population_kind	"[""population_kind"", ""sample_class"", ""process_or_mode"", ""campaign"", ""transport_id"", ""source_index_or_target_index"", ""transport_class"", ""generated_events"", ""candidate_rows"", ""candidate_path"", ""candidate_sha256"", ""combined_sidecar_path"", ""combined_sidecar_sha256"", ""sidecar_row_start_inclusive"", ""sidecar_row_stop_exclusive"", ""negative_physical_weight_rows"", ""zero_physical_weight_rows"", ""positive_physical_weight_rows"", ""event_join_exact"", ""candidate_physical_weights_materialized"", ""selected_physical_yield_calculated"", ""zero_candidate_policy""]"	"[""ordinary"", ""background"", ""bbh_hbb_4fs"", ""bbh_hbb_4fs_scaleout40k_20260722_v1"", ""bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz"", ""0"", ""uniform_member_constant"", ""10000"", ""344"", ""/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0000_bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet"", ""8521ad0f898c1e57f765044254a4b3d977f218229b8f3b2a2f0a4647e76a5779"", ""/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet"", ""d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3"", ""0"", ""344"", ""0"", ""0"", ""344"", ""True"", ""344"", ""False"", ""not_applicable""]"	pass
10	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	global_ordinary_process_registry.tsv	tsv	33	effective_reference_factor_pb	"[""process_or_mode"", ""sample_class"", ""batch"", ""campaigns"", ""generated_events"", ""reference_class"", ""sigma_reference_pb"", ""external_branching_factor"", ""external_H_to_bb_power"", ""effective_reference_factor_pb"", ""additional_k_factor"", ""filter_efficiency_multiplier"", ""exact_generation_scope_embedded"", ""external_Z_to_bb_factor_applied"", ""decay_mode"", ""process_denominator_sumw"", ""process_denominator_sumw2"", ""negative_weight_events"", ""zero_weight_events"", ""positive_weight_events"", ""weight_convention_class"", ""all_campaign_denominators_frozen"", ""all_campaign_denominator_use_authorized"", ""candidate_cross_campaign_process_aggregation_ready"", ""global_ordinary_registry_frozen"", ""cross_campaign_process_aggregation_authorized"", ""integrated_luminosity_contract_frozen"", ""preexisting_batch_process_binding"", ""reference_frozen"", ""physical_weight_application_authorized"", ""physical_yield_calculation_authorized"", ""source_reference_registry"", ""source_process_denominator_binding""]"	"[""bbh_hbb_4fs"", ""background"", ""A"", ""2"", ""50000"", ""authoritative_inclusive_13TeV"", ""0.5277"", ""1"", ""0"", ""0.5277"", ""1"", ""1"", ""False"", ""False"", """", ""1434.6193888299167"", ""41.16635819828508"", ""1"", ""0"", ""49999"", ""signed_generator_weights"", ""True"", ""True"", ""True"", ""True"", ""True"", ""False"", ""False"", ""True"", ""False"", ""False"", ""docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv"", ""candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists""]"	pass
