production_row_index	source_uid	group_id	sample_class	process_or_mode	auxiliary_qcd	physical_evaluation_eligible	authorization_scope	physical_weight_application_authorized	authorized_accounting_weight_column	authorized_resolved_weight_column	luminosity_pb_inverse	exposure_label	authorization_reason
0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	331e1d9ade0b6f4ee6de7411	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
1	3bc3942d91503ba846db3899::background::362::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	3bc3942d91503ba846db3899	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
2	554693ea991d325b22636467::background::357::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	554693ea991d325b22636467	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
3	765df8c6ff15e5ef9646314a::background::356::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	765df8c6ff15e5ef9646314a	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
4	883cde2439e6efaaafe5691f::background::361::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	883cde2439e6efaaafe5691f	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
5	8e0aa4631d1190f8a8484606::background::353::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	8e0aa4631d1190f8a8484606	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
6	b2239a1c2ffb2eb5fc793ee7::background::351::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	b2239a1c2ffb2eb5fc793ee7	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
7	ba4ea16c7c45ee2aae854f6e::background::355::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	ba4ea16c7c45ee2aae854f6e	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
8	e14311c8c1d2f7b5d00cbf57::background::358::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	e14311c8c1d2f7b5d00cbf57	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
9	e913062b5f3e6b74057d1360::background::360::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	e913062b5f3e6b74057d1360	background	qcd_bbbb_general	True	False	auxiliary_qcd_classification_only_no_physical_use	False			138000.0	Run-2 13 TeV, 138 fb^-1 expected-yield projection	auxiliary QCD is excluded from all physical yields, significance, and assignment losses
