generator_weight_transport_class	sources	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction
qcd_uniform_constant	59	552013	102385	552013	0	0	552013.0	406028004763.6873	24567888281.630943	5.592006488544801e+17	1.5474478981260624e+16	294811.4258989027	39004.94067358437	0.06050786643628121
qcd_variable_frozen_fragment	127	1259360	35737	1259360	0	0	1259430.803019166	1845913140392.6826	37658915276.15794	3.097084509398149e+18	4.9906821979185496e+16	1100194.4930900605	28416.834483436443	0.02040123906813228
signed_exact_event_sidecar	14	68500	22914	68430	70	0	259396.1565772295	1369983.2800385293	116714.10223319383	89927824.13778837	7058388.327429742	20870.672737610013	1929.9280555538426	0.08519381508795594
uniform_member_constant	241	1690000	881361	1690000	0	0	430183930.3768021	127519560.30111064	67567994.09081243	16058538220.461342	7884540850.847929	1012622.571005185	579036.1051861481	0.5298637631063408
