sample_class	process_or_mode	coefficient_campaign	coefficient_join_status	sources	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	ordinary_campaign_exact_key_match	3	30000	14067	30000	0	0	841342.6971435547	1657877.132006397	777374.425820055	91618654.49649721	42959526.910153106	29999.966709125158	14066.984470823782	0.4688974899359764
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	ordinary_campaign_exact_key_match	5	50000	23210	50000	0	0	1401424.7131347656	2763832.561097643	1282968.2347406573	152775463.5603573	70918056.37059389	49999.981985102546	23209.991581721828	0.4641989723976378
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	ordinary_campaign_exact_key_match	3	30000	7417	30000	0	0	83881.29711151123	134813.04815000485	33329.81544128421	605819.4080954627	149774.58530157837	29999.959903284656	7416.9899727197635	0.24722989279345223
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	ordinary_campaign_exact_key_match	4	40000	8533	40000	0	0	36552.600264549255	73597.84850503074	15700.380397765539	135416.20126545164	28888.1002926156	39999.96495213596	8532.992551869234	0.2133266218603163
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	ordinary_campaign_exact_key_match	2	20000	1767	20000	0	0	1294074.0203857422	4465921.94222766	394571.5672502681	997223430.6352298	88107978.64722283	19999.99015402785	1766.9991307562486	0.08835164885426787
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	ordinary_campaign_exact_key_match	4	20800	9999	20769	31	0	1981.8741404861212	10530.766251443849	5070.276278164016	5363.538724803293	2578.253467728099	20676.095304339553	9970.975258520959	0.48147268271849086
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	ordinary_campaign_exact_key_match	1	10000	1276	10000	0	0	35566.10107421875	81716.7819194654	10427.061372923787	667763.2447273468	85206.59002720946	9999.999999999998	1276.0	0.12760000000000002
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	ordinary_campaign_exact_key_match	3	30000	3707	30000	0	0	107011.89994812012	245870.86654789496	30382.135189594104	2015084.8183153665	249008.64864512836	29999.969464090213	3706.9962979248976	0.12356948025672554
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	ordinary_campaign_exact_key_match	4	13200	6079	13176	24	0	402.0103596188128	3366.7185573901797	1552.0141465743664	864.9738121342604	398.3334318061234	13104.204642574818	6047.064390867757	0.4609871957273019
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	ordinary_campaign_exact_key_match	1	10000	2851	10000	0	0	68993.02005767822	38076.52093263103	10855.61611789311	144982.14463330898	41334.4094349564	9999.999999999993	2851.0	0.28510000000000013
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	ordinary_campaign_exact_key_match	6	60000	17394	60000	0	0	413586.0824584961	228253.80180503073	66171.5723630937	868339.0080195531	251737.52325178153	59999.375309967734	17393.819294172936	0.28990348392801785
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	ordinary_campaign_exact_key_match	12	120000	34703	120000	0	0	829870.548248291	457996.8129433036	132451.56393413205	1748019.3830710868	505533.2480561157	119999.28759239227	34702.79522871283	0.28919756686282555
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	ordinary_campaign_exact_key_match	3	4500	2154	4488	12	0	47.11366894841194	868.6103657220942	417.2135214904773	169.46955884218207	81.114079881484	4452.032403899044	2145.9544726244185	0.4803229824958845
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ordinary_campaign_exact_key_match	14	14000	8131	14000	0	0	13.912100112065673	201.95436658071765	117.29210544421797	2.9132771220627482	1.6919866015229408	13999.89237966508	8130.9379088194955	0.5807851913780648
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	ordinary_campaign_exact_key_match	66	66000	38209	66000	0	0	65.48116006888449	950.5542727667028	550.3004158759862	13.690354061469037	7.925720254272459	65999.27375275492	38208.5839517284	0.5789258242712124
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	ordinary_campaign_exact_key_match	7	70000	44298	70000	0	0	99.67373916879296	137.78482139275133	87.19243525164241	0.2712123694294937	0.17162411284873968	69999.22992512246	44297.50947532826	0.6328159689165115
