optimized_fold_k5	sources	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction
0	88	693384	206236	693370	14	0	84891984.61194956	483944330274.9905	12151259790.373062	8.133066061655727e+17	1.3507714700691386e+16	287962.8826691594	10931.021106448128	0.025108796673924006
1	88	751197	209833	751176	21	0	90583355.6589856	528204048986.7509	10716894210.793512	9.001937985650353e+17	1.4681237830341092e+16	309932.72538728936	7823.033919386559	0.020289307193596177
2	89	756053	211149	756040	13	0	86736443.31688248	434863203711.6251	13424190325.725143	6.714882909900209e+17	1.3149294838673612e+16	281622.194280598	13704.832701087298	0.03086991543811385
3	89	703300	208797	703289	11	0	85045134.08468789	458142109810.80035	11526499662.155577	7.749191212769553e+17	1.2338028689622736e+16	270859.48329164466	10768.34864012098	0.025159223339927633
4	87	665939	206382	665928	11	0	84997852.66389298	346916341915.78424	14475644276.934637	4.963773574035112e+17	1.1705032792716532e+16	242458.57812243956	17902.066653135706	0.041726613964033654
