family	broad_rows	selected_rows	broad_yield	selected_yield	selected_sumw2	selected_neff	fraction_of_background
qcd_hardqcd_importance	632	123	171261375.33255604	46452891.01438076	41177133370865.945	52.404597089332476	0.9547728515861125
ttbar	34284	18288	3868328.6372352093	2063459.1669467464	232823104.80615574	18287.977635216143	0.04241145706835211
other	30777	11867	231662.69498967717	92901.10106402176	13432436.754386507	642.5203957196496	0.0019094494926252565
zbbbb	22806	7538	86944.12840103303	28738.10014882294	109563.02077037978	7537.930173490181	0.0005906706176751124
ggh	332	113	22245.759275853397	7570.853215611095	507238.35739304684	112.99977136373117	0.0001556080785450174
tth	7861	4125	8022.303824440272	4209.677063505609	4296.094745609635	4124.997708003403	0.00008652390166492809
bbh	4003	1750	5820.264246283838	2544.497490094183	3699.7203122577757	1749.988358753669	0.000052298512997153105
