sample_class	process_or_mode	campaign	artifact_types_located	artifact_type_counts	allowlist_candidates	provenance_content_reviewed	sum_generator_weights_resolved	cross_section_provenance_resolved	physics_normalization_ready	status
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	generation_provenance_metadata,parton_shower_card	generation_provenance_metadata:1,parton_shower_card:1	1	False	False	False	False	archive_index_complete_content_review_pending
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	candidate_or_event_summary_log,delphes_log_or_configuration,generation_provenance_metadata,generator_banner_or_lhe_init,generator_stdout_or_summary,parton_shower_card,proc_card,run_card	candidate_or_event_summary_log:2,delphes_log_or_configuration:1,generation_provenance_metadata:1,generator_banner_or_lhe_init:1,generator_stdout_or_summary:3,parton_shower_card:3,proc_card:1,run_card:1	11	False	False	False	False	archive_index_complete_content_review_pending
