index_source	index_ordinal	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	content_opened	content_extracted	status
scaleout	2	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	./parquet/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet	regular_file	176005	False	False	payload_identified_and_protected
scaleout	2	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10957080	False	False	payload_identified_and_protected
scaleout	3	background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	./root/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_delphes.root	regular_file	798295753	False	False	payload_identified_and_protected
scaleout	3	background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	./parquet/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_event_summary.parquet	regular_file	241098	False	False	payload_identified_and_protected
scaleout	3	background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	./parquet/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_hh4b_candidates_v2.parquet	regular_file	49700	False	False	payload_identified_and_protected
scaleout	3	background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	7915519	False	False	payload_identified_and_protected
scaleout	4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	./root/ggh_hbb_run2_frozen_v2_train_shard9701_10k_delphes.root	regular_file	790083998	False	False	payload_identified_and_protected
scaleout	4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	./parquet/ggh_hbb_run2_frozen_v2_train_shard9701_10k_event_summary.parquet	regular_file	241283	False	False	payload_identified_and_protected
scaleout	4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	./parquet/ggh_hbb_run2_frozen_v2_train_shard9701_10k_hh4b_candidates_v2.parquet	regular_file	51180	False	False	payload_identified_and_protected
scaleout	4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	7917098	False	False	payload_identified_and_protected
scaleout	5	background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	./root/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	regular_file	880255823	False	False	payload_identified_and_protected
scaleout	5	background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_event_summary.parquet	regular_file	245150	False	False	payload_identified_and_protected
scaleout	5	background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_hh4b_candidates_v2.parquet	regular_file	172299	False	False	payload_identified_and_protected
scaleout	5	background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	./source/unweighted_events.lhe.gz	regular_file	11728558	False	False	payload_identified_and_protected
scaleout	6	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	./root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	regular_file	976722042	False	False	payload_identified_and_protected
