index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	23	./source/unweighted_events.lhe.gz	regular_file	11199528	True	True	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	2	./metadata	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	3	./metadata/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	regular_file	1442	True	False	False	generation_provenance_metadata	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	4	./metadata/generation_banner.txt	regular_file	18635	True	False	False	generator_banner_or_lhe_init	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	5	./parquet	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	6	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_hh4b_candidates_v2.parquet	regular_file	64462	True	True	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	7	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	249747	True	True	False	generator_stdout_or_summary	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	8	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	9	./root/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	regular_file	924652710	True	True	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	10	./cards	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	11	./cards/proc_card_mg5.dat	regular_file	2052	True	False	False	proc_card	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	12	./cards/run_card.dat	regular_file	9208	True	False	False	run_card	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	13	./cards/pythia_card_default.dat	regular_file	350	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
