sample_class	process_or_mode	campaign	representative_locator	member_name	size_bytes	artifact_types	safe_relative_path	nested_archive	event_payload	extraction_authorized_now	content_review_authorized_now	status
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	./metadata/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_provenance.json	768	generation_provenance_metadata	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./metadata/generation_banner.txt	20038	generator_banner_or_lhe_init	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./metadata/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_provenance.json	1423	generation_provenance_metadata	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_mg5.log	8604	generator_stdout_or_summary	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_pythia_hepmc.log	18811	parton_shower_card	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.log	8267	delphes_log_or_configuration	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.log	1070	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_candidates.log	223	candidate_or_event_summary_log	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./cards/proc_card_mg5.dat	2060	proc_card	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	./cards/run_card.dat	10719	run_card	True	False	False	False	False	draft_candidate_requires_pn_b3_policy_freeze
