index_source	index_ordinal	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	artifact_types	safe_relative_path	nested_archive	allowlist_candidate	extraction_authorized_now	status
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	./hepmc/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_pythia8.hepmc	regular_file	277191545	parton_shower_card	True	False	False	False	not_allowlisted
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	./metadata/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_provenance.json	regular_file	768	generation_provenance_metadata	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./parquet/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.parquet	regular_file	245562	generator_stdout_or_summary	True	False	False	False	not_allowlisted
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./metadata/generation_banner.txt	regular_file	20038	generator_banner_or_lhe_init	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./metadata/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_provenance.json	regular_file	1423	generation_provenance_metadata	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_mg5.log	regular_file	8604	generator_stdout_or_summary	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_pythia_hepmc.log	regular_file	18811	parton_shower_card	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.log	regular_file	8267	delphes_log_or_configuration	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.log	regular_file	1070	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	True	False	candidate_for_pn_b3_allowlist_review
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_candidates.log	regular_file	223	candidate_or_event_summary_log	True	False	True	False	candidate_for_pn_b3_allowlist_review
