index_source	index_ordinal	sample_class	process_or_mode	campaign	representative_locator	expected_size_bytes	copied_size_bytes	bundle_sha256	archive_members	regular_file_members	event_payload_members	provenance_named_members	allowlist_candidate_members	unsafe_member_names	temporary_copy_removed	event_payload_content_opened	event_payload_extracted	status
scaleout	5	background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	867076826	867076826	233ab3e392c4947202d8a62578c9fdbcc4386c63be47822fab27b26fad5b093f	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	6	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	961579902	961579902	a3a5c14eb7968976143f5e9386086f9ab6d2efd6972b2367bb7202a439dcb721	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	7	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	958106595	958106595	4a6c9cb7b150f8286bc95a416348d0660b7df4194a6a9dcfaa06205e8c6af768	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	1606628831	1606628831	a5994e5b40ec3b27b46b651cf58ff12ca997c85b81373f86bd93ab73259db65a	17	11	4	11	7	0	True	False	False	bundle_index_scaleout_pass
scaleout	9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	1604481039	1604481039	ffd11db286dcfb975d46e13abbd430c2f9cae50a1bace221c2c43d105b9019cf	17	11	4	11	7	0	True	False	False	bundle_index_scaleout_pass
scaleout	10	background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz	1847704870	1847704870	a2aee26053961d741c09937d65ab79110ba848f8a780dfc7b7f218034fc4e6f3	17	11	4	11	7	0	True	False	False	bundle_index_scaleout_pass
scaleout	11	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	780640923	780640923	8e6d3b99fd56a63e777e955f301092db541fa089e4046a6fa3ccb08381bfbc08	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	12	background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_bundle.tar.gz	779365500	779365500	7b51cda5476b0216ab419dfeacb4374c6835f1ee72b98125f193ffe1e75b2148	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	13	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	781762307	781762307	f123b4ff7ce1d13761dbb25b221b88112e7d216c1fb24b33cc4b5b1f3b98c1a3	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	14	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_bundle.tar.gz	775673980	775673980	a7bc51efef6a3f7809fd9c960c498d2afddef7e836378078c77ebbd34fd61961	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
