order_mass_aware	order_mass_plane_blind	column	physics_meaning	unit	finite_missing_treatment	explicit_higgs_mass_plane	used_bdt_a	used_bdt_b
1	1	n_selected_jets	number of selected AK4 jets	count	fail on missing or nonfinite	False	True	True
2	2	n_selected_bjets	number of selected b-tagged AK4 jets	count	fail on missing or nonfinite	False	True	True
3	3	ht_selected_jets	scalar pT sum of selected jets	GeV	fail on missing or nonfinite	False	True	True
4	4	ht_selected_bjets	scalar pT sum of selected b-tagged jets	GeV	fail on missing or nonfinite	False	True	True
5	5	ht_candidate_jets	scalar pT sum of four HH candidate jets	GeV	fail on missing or nonfinite	False	True	True
6	6	mhh	invariant mass of reconstructed HH system	GeV	fail on missing or nonfinite	False	True	True
7	7	hh_pt	transverse momentum of reconstructed HH system	GeV	fail on missing or nonfinite	False	True	True
8	8	abs_hh_eta	absolute pseudorapidity of reconstructed HH system	dimensionless	fail on missing or nonfinite	False	True	True
9	9	h1_pt	transverse momentum of leading-pT Higgs candidate	GeV	fail on missing or nonfinite	False	True	True
10	10	abs_h1_eta	absolute pseudorapidity of leading-pT Higgs candidate	dimensionless	fail on missing or nonfinite	False	True	True
11	11	h2_pt	transverse momentum of subleading-pT Higgs candidate	GeV	fail on missing or nonfinite	False	True	True
12	12	abs_h2_eta	absolute pseudorapidity of subleading-pT Higgs candidate	dimensionless	fail on missing or nonfinite	False	True	True
13	13	abs_h_delta_eta	absolute pseudorapidity separation of Higgs candidates	dimensionless	fail on missing or nonfinite	False	True	True
14	14	abs_h_delta_phi	absolute wrapped azimuthal separation of Higgs candidates	radian	fail on missing or nonfinite	False	True	True
15	15	h_delta_r	angular separation of Higgs candidates	dimensionless	fail on missing or nonfinite	False	True	True
16	16	h_pt_balance	transverse-momentum balance of Higgs candidates	dimensionless	fail on missing or nonfinite	False	True	True
17	17	drbb1	angular separation of jets in leading-pT Higgs candidate	dimensionless	fail on missing or nonfinite	False	True	True
18	18	drbb2	angular separation of jets in subleading-pT Higgs candidate	dimensionless	fail on missing or nonfinite	False	True	True
19	19	j1_pt	transverse momentum of first candidate jet	GeV	fail on missing or nonfinite	False	True	True
20	20	abs_j1_eta	absolute pseudorapidity of first candidate jet	dimensionless	fail on missing or nonfinite	False	True	True
21	21	j1_mass	mass of first candidate jet	GeV	fail on missing or nonfinite	False	True	True
22	22	j2_pt	transverse momentum of second candidate jet	GeV	fail on missing or nonfinite	False	True	True
23	23	abs_j2_eta	absolute pseudorapidity of second candidate jet	dimensionless	fail on missing or nonfinite	False	True	True
24	24	j2_mass	mass of second candidate jet	GeV	fail on missing or nonfinite	False	True	True
25	25	j3_pt	transverse momentum of third candidate jet	GeV	fail on missing or nonfinite	False	True	True
26	26	abs_j3_eta	absolute pseudorapidity of third candidate jet	dimensionless	fail on missing or nonfinite	False	True	True
27	27	j3_mass	mass of third candidate jet	GeV	fail on missing or nonfinite	False	True	True
28	28	j4_pt	transverse momentum of fourth candidate jet	GeV	fail on missing or nonfinite	False	True	True
29	29	abs_j4_eta	absolute pseudorapidity of fourth candidate jet	dimensionless	fail on missing or nonfinite	False	True	True
30	30	j4_mass	mass of fourth candidate jet	GeV	fail on missing or nonfinite	False	True	True
31		mbb1	dijet mass of leading-pT Higgs candidate	GeV	fail on missing or nonfinite	True	True	False
32		mbb2	dijet mass of subleading-pT Higgs candidate	GeV	fail on missing or nonfinite	True	True	False
33		delta_mbb	absolute difference of two Higgs-candidate dijet masses	GeV	fail on missing or nonfinite	True	True	False
34		r_hh_125_125	Euclidean Higgs-candidate mass-plane distance from (125,125)	GeV	fail on missing or nonfinite	True	True	False
