method,samples_combined,n_events_read_total,candidate_events_total,candidate_efficiency_combined,all4_truth_matched_candidates_total,all4_truth_matched_fraction_of_candidates,correct_pairing_candidates_total,correct_pairing_over_all_candidates,correct_pairing_given_all4matched,median_candidate_efficiency_across_samples,median_correct_pairing_given_all4matched_across_samples,median_avg_mbb_across_samples,median_avg_mbb_central68_half_width_across_samples
CMS_inspired_top_four_btag_priority_mass_balance,"ggF_HH4b,VBF_HH4b",20000,12616,0.6308,2471,0.19586239695624605,1720,0.13633481293595434,0.6960744637798462,0.6308,0.6991945196042082,142.5750027637583,72.65344673105517
strict_4b_closest_mass,"ggF_HH4b,VBF_HH4b",20000,1335,0.06675,766,0.5737827715355805,652,0.4883895131086142,0.8511749347258486,0.06675,0.8509677991177653,118.93512216373192,20.870388952239463
v2_all_bjet_leading8_closest_mass,"ggF_HH4b,VBF_HH4b",20000,1335,0.06675,784,0.5872659176029963,667,0.49962546816479403,0.8507653061224489,0.06675,0.850562031775786,118.98068046466713,18.293307069427847
