method,status,jet_selection,pairing,candidate_eff_ggF,candidate_eff_VBF,candidate_eff_signal_average,correct_pairing_accuracy,correct_pairing_note,median_mbb1,median_mbb2,median_avg_mbb,avg_mbb_central68_half_width,median_abs_avg_mbb_minus_125,median_mhh,BDT_QCD_weighted_AUC,BDT_top_weighted_AUC,nominal_BDT_working_point,nominal_S_over_sqrtB_mean,nominal_S_over_sqrtB_seed_std,nominal_S_over_B_mean
strict_4b_closest_mass,current nominal v1 baseline,require >=4 selected b-tagged jets; use leading four selected b-tagged jets,choose pairing minimizing |mbb1-125| + |mbb2-125|,0.0641,0.0694,0.06675,,pending ROOT-level truth matching,125.21799202762573,112.94686206770915,119.12410739391618,20.554133535552673,14.048829745957676,376.5912440874984,0.8441567744146657,0.7618634500854526,BDT_QCD > 0.825 and BDT_top > 0.525,0.1845773475387612,0.0156091987884097,0.0004119160901242
CMS_inspired_top_four_btag_priority_mass_balance,next to implement,"require >=4 selected jets; choose four highest b-tag-priority jets, then pT; no hard 4-btag requirement",mass-balance pairing minimizing |mbb1-mbb2|,,,,,will be computed with truth matching,,,,,,,,,pending,,,
v2_all_bjet_pairing_event_features,next to implement / compare,use all selected b-tagged jets up to leading 8 for candidate pairing,closest-Higgs-mass pairing among candidate b jets,,,,,will be computed with truth matching,,,,,,,,,pending,,,
future_SPANet_assignment,future,set/graph assignment model,learned permutationless assignment,,,,,future ML assignment benchmark,,,,,,,,,pending,,,
