checkpoint_relative_path	bytes	sha256
README.md	1896	1681ea31331ea48123c0ab86300740dbc0b0bab80145198249257f75da58e3c9
evidence/paper_inventory/existing_figure_file_inventory.tsv	13313	1d1c275b17ac3458fcaf02caee1402fb2cac7e670207680c10a343c9450cfc5d
evidence/paper_inventory/existing_figure_reference_inventory.tsv	10356	f6dc8220188f2d75614ab8137536076556ec4c35473eaf0a75a87756d889737c
evidence/readiness/candidate_cut_family_proposal.json	1429	e48afd558d50baff5c9bc213901dee5ee0c2b88c0a47d43ad71d13d7ff82d194
evidence/readiness/candidate_variable_fold_support.tsv	11148	3230965e8c8c1d0c70f7cf3083145fdc1d09962a78761773d45756365725a23d
evidence/readiness/candidate_variable_pooled_support.tsv	6206	a4c20b99f58ebe56bede3a57eaf2e117f11736cc64337b51a69b6136fcba06cf
evidence/readiness/discrete_candidate_support.tsv	1383	ae5dce5db76245e7928f4133802f32a51731571be55a23e3020a435f5807199d
evidence/readiness/multivariate_cut_space_readiness_summary.json	1330	27a7247fb5c17bd429da3901d98f3fd5be2bcddec9713ecc789e086ea96b07c5
multivariate_nested_oof_cut_contract.json	31454	2fb463b437718395c7bb1f9326105f3ac353c1380567795fdafa975d16b0eb27
paper_figure_directory_contract.json	2700	be500c09623626b308a406f5a4997bddaf565bfc293aebb00b4390da91ba7ffd
