run,region,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB
mass_aware,CAT0+CAT1+CAT2,144,389,92.11266456521741,214886.27150962732,0.0004286577449462172,0.19870784351281512,0.004286577449462172
topology_only,CAT0+CAT1+CAT2,66,223,52.44389621904239,136389.98197739542,0.0003845142836644276,0.14200502521825298,0.0038451428366442753
