run,category,qcd_physics_weighted_auc,top_physics_weighted_auc,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,neff_signal,neff_background
mass_aware,CAT0_high_purity_diagnostic,0.8355258999965083,0.8089866400054015,34,43,20.070511585030275,19177.410982349116,0.0010465704470485,0.1449317228285015,0.0104657044704851,16.35623219485898,9.865931669629171
mass_aware,CAT1_tight,0.8355258999965083,0.8089866400054015,63,156,48.47457339295544,107869.41763400758,0.0004493819884837,0.1475926833627882,0.0044938198848375,38.245804889117736,48.08732528190167
mass_aware,CAT2_medium_tight,0.8355258999965083,0.8089866400054015,47,190,23.567579587231705,87839.44289327062,0.0002683029264639,0.079518869288537,0.0026830292646399,19.69941478440461,91.74327552643604
mass_aware,CAT3_medium,0.8355258999965083,0.8089866400054015,58,483,41.85903534947717,320385.0878731036,0.0001306522585909,0.0739525355268304,0.0013065225859093,33.25704932217002,89.80741614070449
mass_aware,CAT4_loose,0.8355258999965083,0.8089866400054015,86,1268,76.41453368189323,810151.6369313165,9.43212729549438e-05,0.084897091170043,0.0009432127295494,59.45373562534725,203.7520546115393
topology_only,CAT0_high_purity_diagnostic,0.7923072006955587,0.7852156509201261,4,7,2.8009157237204185,2650.243344154901,0.0010568522810925,0.0544072988831634,0.0105685228109253,2.233047693484483,4.143844668744437
topology_only,CAT1_tight,0.7923072006955587,0.7852156509201261,34,105,30.03657042927904,68136.9880828752,0.0004408262131097,0.115069142680146,0.0044082621310976,23.381847074231526,29.881376523693024
topology_only,CAT2_medium_tight,0.7923072006955587,0.7852156509201261,28,111,19.60641006604293,65602.75055036531,0.0002988656710512,0.0765485656383839,0.0029886567105125,15.631333854391375,35.80312334001485
topology_only,CAT3_medium,0.7923072006955587,0.7852156509201261,61,429,34.61654197578426,261739.13616341384,0.0001322558883749,0.0676627039917567,0.0013225588837494,28.371579980504453,94.5773778210291
topology_only,CAT4_loose,0.7923072006955587,0.7852156509201261,126,1771,93.21187471931756,1065762.3654244156,8.746027983658257e-05,0.0902902909899175,0.0008746027983658,73.85369942837401,287.22966088765065
