final_split	sample_class	process_family	process_or_mode	component	paper_method_role	group_id	member_id	source_index	generated_events	candidate_rows	candidate_path	candidate_sha256	mapping_mode	source_map_row	root_access_mode	root_locator	raw_event_scan_cap	selected_event_cap	deterministic_rank
train	background	background_other_bbh_hbb_4fs	bbh_hbb_4fs	hbb	authors_inference_background_suite	6b17060f283655da93e0921e	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	0	10000	344	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0000_bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet	8521ad0f898c1e57f765044254a4b3d977f218229b8f3b2a2f0a4647e76a5779	primary_candidate_path_or_sha256	107	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz::root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	1024	256	0fba9e8a5d4fa28398adf34f98878274d088bb200b9200375f034278c8134814
train	background	background_other_ggh_hbb	ggh_hbb	hbb	authors_inference_background_suite	6aeca1df086a5ba7b74a5ebf	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6	10000	1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0006_ggh_hbb_run2_frozen_v2_train_shard9702_10k_hh4b_candidates_v2.parquet	777a098be611a618512bbcf37751bf7f9879a079052d812bed05713a173a67b2	primary_candidate_path_or_sha256	113	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz::root/ggh_hbb_run2_frozen_v2_train_shard9702_10k_delphes.root	1024	256	0e034439c5a8bd858f6776a175d5b2a3bc2e7c49338f0ed045158a247b6ecf52
train	background	background_other_schannel_single_top	schannel_single_top	single_top	authors_inference_background_suite	383b2fdff4ebed10b6255b21	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	276	10000	8	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/schannel_single_top/0276_schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_hh4b_candidates_v2.parquet	508f23bd264fdfd33442243ac0cb4072209f85c498f5080e6de9d60d3459e393	primary_candidate_path_or_sha256	364	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz::root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root	1024	256	1b62a709f98498f163ad1cc449f98cf062cc88522ac724b063ebdf9e367b97fc
train	background	background_other_tchannel_antitop	tchannel_antitop	single_top	authors_inference_background_suite	6395728056957aad3d82db98	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	279	10000	8	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tchannel_antitop/0279_tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_hh4b_candidates_v2.parquet	4dfef14d18b64f285379419e2b9eacc15cfde6667975980a6ca9ab72c8cdeece	primary_candidate_path_or_sha256	367	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz::root/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_delphes.root	1024	256	0041a01001cf7b4310102dc016ff2316433b5d2a60084daa1660b2ff33a34a44
train	background	background_other_tchannel_top	tchannel_top	single_top	authors_inference_background_suite	365f7cea18504cdf9e08046b	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	287	10000	7	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tchannel_top/0287_tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_hh4b_candidates_v2.parquet	168259cf5ba71a9d5827f02a04b492017f09d5af94110f1da2fa6b1a52540cb7	primary_candidate_path_or_sha256	375	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz::root/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_delphes.root	1024	256	532dfa6323f9cdf5d18a138ce7130d33f578ee939ff0dc0599de7d9ca6e0338b
train	background	background_other_tth_hbb	tth_hbb	waveb	authors_inference_background_suite	5bb3459b72f6233eef9887ef	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_bundle.tar.gz	483	10000	1222	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tth_hbb/0483_tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_hh4b_candidates_v2.parquet	b04004a2a9a0871b0e55157f7c1a9811419237bd9a0e29df27b28fade7156723	primary_candidate_path_or_sha256	544	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_bundle.tar.gz::root/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_delphes.root	1024	256	0d0e74479c1a823b4f23aa296c4b58d5907b105f74acda774a594038080aaa73
train	background	background_other_tttt	tttt	waveb	authors_inference_background_suite	89bdf3a3353582c2558f715d	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	486	10000	2016	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tttt/0486_tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_hh4b_candidates_v2.parquet	7d201052b40905f5d5e591536f0fabced0c1ce54752990c06fb93f35ab4c28e4	primary_candidate_path_or_sha256	547	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz::root/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_delphes.root	1024	256	4814d494fa3c80479ba55e656cfe3022445a6beea9926a79c4567d4ef81aefc3
train	background	background_other_ttw	ttw	wavec1	authors_inference_background_suite	ed8dcb86ba6f9b5013d5a8e1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_bundle.tar.gz	500	10000	55	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttw/0500_ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_hh4b_candidates_v2.parquet	6da5f5b732218b575d0c6d73b1de5612bb56ab9b09204e2693e85ef66108bcf5	primary_candidate_path_or_sha256	561	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_bundle.tar.gz::root/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_delphes.root	1024	256	104b485cabf5882a964c90240d88711601b4c8e560c1b139dda0d43949fe2b0a
train	background	background_other_ttz_zbb	ttz_zbb	waveb	authors_inference_background_suite	bfc9c74d68ae59f0b2f11071	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	489	10000	1072	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttz_zbb/0489_ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_hh4b_candidates_v2.parquet	36e5985b792a3062fb222b0bf26387897aee56b08577c5f740eefb22d6836de9	primary_candidate_path_or_sha256	550	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz::root/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_delphes.root	1024	256	548379417e9f29648b3ad3eafcd079765c89c6cd4f7ae0f27d729167d08fad5e
train	background	background_other_tw_antitop	tw_antitop	single_top	authors_inference_background_suite	d18c07f548a58bc07eee0e75	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_bundle.tar.gz	298	10000	14	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tw_antitop/0298_tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_hh4b_candidates_v2.parquet	3a0fb8f046a14cb0b1cf2aa21db31535ed87f247547ddf53419c1cdf7e4fad59	primary_candidate_path_or_sha256	386	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_bundle.tar.gz::root/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_delphes.root	1024	256	1af35fdeec564445d8e4d79b68ff8b5f2a375dbc17c6f80790f3d622db6e5fc1
