sample_class	process_or_mode	campaign	evidence_classes	line_text	source_archive_path	source_member_name	source_line	source_kind	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	# Number of events and rnd seed *	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	unweighted	INFO: Generating 10000.0 unweighted events.	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	57	generator_log_or_summary	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	INFO: # Events generated with PDF: NNPDF31_nlo_as_0118_nf_4 (320500)	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	82	generator_log_or_summary	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	event_weighting_strategy	Event weighting strategy = -4	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	191	pythia_log_or_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	237	pythia_log_or_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	# the events generated: *	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	# Number of events and rnd seed *	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	151	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	154	generator_banner	False	text_candidate_requires_review
