sample_class	process_or_mode	campaign	manifest_generated_events	run_card_nevents_values	run_card_event_norm_values	sumw_candidate_rows	unweighted_evidence_lines	negative_weight_evidence_lines	uniform_positive_nominal_weight_proof_complete	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	40000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	90000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	140000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	140000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	20000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	740000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
