sample_class	process_or_mode	campaign	manifest_generated_events	run_card_nevents_values	run_card_event_norm_values	sumw_candidate_rows	unweighted_evidence_lines	negative_weight_evidence_lines	uniform_positive_nominal_weight_proof_complete	normalization_denominator_authorized	status
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	40000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	30000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	5200	46800	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	20800	46800	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3300	19800	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	13200	19800	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	90000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	150000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1500	7500	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6000	7500	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	10000	10000	average	1	4	0	False	False	controlled_weight_audit_required_before_Ngen
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	90000	10000	average	1	3	0	False	False	controlled_weight_audit_required_before_Ngen
