process_or_mode	selected_mass_GeV	selected_reference_cross_section_pb	source_id	source_table_locator	candidate_checkpoint_relative_path	source_row_reused_without_modification
bbh_hbb_4fs	125.00	0.5277	LHCHXSWG_YR4_13TeV_singleH	bbH_mH_125.00	docs/checkpoints/hh4b_physical_normalization_batch_A_authoritative_reference_candidates_20260730_v1/batch_A_authoritative_reference_candidates.tsv	True
ggf_hh4b	125.00	0.03077	LHCHWG_HH_current_13TeV	ggF_HH_mH_125.00	docs/checkpoints/hh4b_physical_normalization_batch_A_authoritative_reference_candidates_20260730_v1/batch_A_authoritative_reference_candidates.tsv	True
ggh_hbb	125.00	48.58	LHCHXSWG_YR4_13TeV_singleH	ggF_N3LO_mH_125.00	docs/checkpoints/hh4b_physical_normalization_batch_A_authoritative_reference_candidates_20260730_v1/batch_A_authoritative_reference_candidates.tsv	True
tth_hbb	125.00	0.5071	LHCHXSWG_YR4_13TeV_singleH	ttH_mH_125.00	docs/checkpoints/hh4b_physical_normalization_batch_A_authoritative_reference_candidates_20260730_v1/batch_A_authoritative_reference_candidates.tsv	True
wh_hbb	125.00	1.373	LHCHXSWG_YR4_13TeV_singleH	WH_total_mH_125.00	docs/checkpoints/hh4b_physical_normalization_batch_A_authoritative_reference_candidates_20260730_v1/batch_A_authoritative_reference_candidates.tsv	True
