sample_class	process_or_mode	campaign	generated_events	frozen_campaign_denominator_sumw	frozen_campaign_denominator_sumw2	all_generated_events_retained	decay_sampling_mode_frozen	explicit_BR_H_to_bb_squared_multiplier	apply_explicit_BR_H_to_bb_squared	run_card_compatibility_frozen	cross_campaign_process_aggregation_authorized	external_reference_cross_section_frozen	physical_weight_application_authorized
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	10000	14.25917143933475	0.020332397013633985	True	unforced_standard_model_higgs_decay_sampling	1	False	True	True	False	False
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	90000	128.18485382013023	0.18257224036224087	True	unforced_standard_model_higgs_decay_sampling	1	False	True	True	False	False
