campaign	expected_bundle_sha256	actual_bundle_sha256	archive_member_count	regular_member_count	safe_text_member_count	all_safe_text_members_opened	exact_proc_card_count	exact_pythia8_card_count	exact_pythia_card_count	exact_provenance_json_count	exact_pythia_log_count	madspin_member_count	vbf_hh_process_line_count	normalized_vbf_hh_process_lines	inclusive_hard_process_proven	matrix_element_forced_hbb_count	madspin_forced_hbb_count	pythia8_higgs_control_command_count	pythia8_higgs_onmode_off_count	pythia8_hbb_selection_count	pythia6_higgs_control_candidate_count	slha_higgs_width_count	exact_control_file_set_complete	no_forcing_command_found_in_any_exact_text_member	decay_sampling_mode_candidate	physical_reference_branching_convention_candidate	campaign_semantic_complete_candidate	event_payload_opened	external_reference_cross_section_frozen	physical_weight_application_authorized
vbf_hh4b_sm_pilot10k_20260722_v1	64105567600535d4c8a136d9fd6b2a2fae31167e1e3ec50c7a5f1523645013ee	64105567600535d4c8a136d9fd6b2a2fae31167e1e3ec50c7a5f1523645013ee	23	16	12	True	1	1	1	1	1	0	2	"""process_definition"": ""generate p p > h h j j qcd=0"",,generate p p > h h j j qcd=0"	True	0	0	0	0	0	0	1	True	True	unforced_standard_model_higgs_decay_sampling	inclusive_VBF_HH_reference_with_no_explicit_BR_H_to_bb_squared_multiplier_because_Higgs_branching_is_sampled_inside_the_generated_event_population	True	False	False	False
vbf_hh4b_sm_scaleout90k_20260722_v1	b6258e0bcb2c4e830ae3fa7efb5ba4c19c4c7f2c442c3b0264bb3489f3af44b9	b6258e0bcb2c4e830ae3fa7efb5ba4c19c4c7f2c442c3b0264bb3489f3af44b9	23	16	12	True	1	1	1	1	1	0	2	"""process_definition"": ""generate p p > h h j j qcd=0"",,generate p p > h h j j qcd=0"	True	0	0	0	0	0	0	1	True	True	unforced_standard_model_higgs_decay_sampling	inclusive_VBF_HH_reference_with_no_explicit_BR_H_to_bb_squared_multiplier_because_Higgs_branching_is_sampled_inside_the_generated_event_population	True	False	False	False
