run_card_key	pilot_value	scaleout_value	values_equal	difference_class	cross_campaign_aggregation_compatible
0.5,1,2',	['--mur	['--mur	True	identical	True
bwcutoff	15.0	15.0	True	identical	True
custom_fcts			True	identical	True
cutuse	0	0	True	identical	True
deltaeta	0.0	0.0	True	identical	True
drjj	0.4	0.4	True	identical	True
drjjmax	-1.0	-1.0	True	identical	True
dsqrt_q2fact1	91.188	91.188	True	identical	True
dsqrt_q2fact2	91.188	91.188	True	identical	True
dsqrt_shat	0.0	0.0	True	identical	True
dynamical_scale_choice	-1	-1	True	identical	True
ebeam1	6500.0	6500.0	True	identical	True
ebeam2	6500.0	6500.0	True	identical	True
eta_max_pdg	{}	{}	True	identical	True
eta_min_pdg	{}	{}	True	identical	True
etaj	5.0	5.0	True	identical	True
event_norm	average	average	True	identical	True
fixed_fac_scale	False	False	True	identical	True
fixed_ren_scale	False	False	True	identical	True
gridpack	False	False	True	identical	True
htjmax	-1.0	-1.0	True	identical	True
htjmin	0.0	0.0	True	identical	True
ihtmax	-1.0	-1.0	True	identical	True
ihtmin	0.0	0.0	True	identical	True
iseed	983001	984001	False	operational_only	True
lhaid	230000	230000	True	identical	True
lpp1	1	1	True	identical	True
lpp2	1	1	True	identical	True
maxjetflavor	4	4	True	identical	True
mmjj	0.0	0.0	True	identical	True
mmjjmax	-1.0	-1.0	True	identical	True
mxx_min_pdg	{}	{}	True	identical	True
mxx_only_part_antipart	{'default': False}	{'default': False}	True	identical	True
nevents	10000	10000	True	identical	True
nhel	0	0	True	identical	True
pdlabel	nn23lo1	nn23lo1	True	identical	True
pt_max_pdg	{}	{}	True	identical	True
pt_min_pdg	{}	{}	True	identical	True
ptheavy	0.0	0.0	True	identical	True
ptj	20.0	20.0	True	identical	True
ptj1max	-1.0	-1.0	True	identical	True
ptj1min	0.0	0.0	True	identical	True
ptj2max	-1.0	-1.0	True	identical	True
ptj2min	0.0	0.0	True	identical	True
ptjmax	-1.0	-1.0	True	identical	True
run_tag	tag_1	tag_1	True	identical	True
scale	91.188	91.188	True	identical	True
scalefact	1.0	1.0	True	identical	True
sde_strategy	2	2	True	identical	True
systematics_program	systematics	systematics	True	identical	True
time_of_flight	-1.0	-1.0	True	identical	True
use_syst	True	True	True	identical	True
xetamin	0.0	0.0	True	identical	True
xptj	0.0	0.0	True	identical	True
