card_basename	campaign_rows	unique_sha256_count	sha256_values	cross_campaign_exact_match
proc_card_mg5.dat	2	1	a6f7ceb66905d566455dfdc45e4e689cfc6a17a15418c3e85794be5d4ccc8019	True
pythia8_card_default.dat	2	1	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True
pythia_card_default.dat	2	1	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True
run_card.dat	2	2	3bf374a0adf6297658813e0038876ac95b8f87aea372102512b93799333557c6,96e41a21f5e0435a2d5fce39e5388cbd0004902c2e7c93aa3074608408399c59	False
