working_point,qcd_threshold,top_threshold,n_seeds,S_over_sqrtB_mean,S_over_sqrtB_std_seed,S_over_B_mean,S_over_B_std_seed,median_background_test_rows,min_background_test_rows,median_neff_background,min_neff_background,median_signal_test_rows,min_signal_test_rows
previous_v2_loose_mid,0.775,0.5,20,0.1803152141522579,0.01749248402889143,0.00033250726737098235,4.226714709304495e-05,275.5,234,125.07399305145097,91.89657359012178,149.5,120
ablation_qcd825_looser_top,0.825,0.475,20,0.17892489216793345,0.018171819441655405,0.0004044723099259923,5.590283197165392e-05,172.0,146,79.3818060087373,51.672086444410276,117.5,99
previous_v2_loose_best,0.8,0.5,20,0.178741431593356,0.01905992797021509,0.0003644272256778334,5.147383191847074e-05,216.0,182,100.98258255474329,71.15016273639486,134.0,112
ablation_best_median,0.825,0.5,20,0.17793117640528447,0.019373967541766787,0.0004124535542053032,6.025648700419237e-05,166.0,141,78.28153406765043,47.938333395270135,114.0,96
previous_nominal_balanced,0.825,0.525,20,0.1758575292243613,0.01899294367795427,0.00041809047073027917,6.456127290579712e-05,160.5,132,73.87831803082169,43.69175991369574,111.5,92
qcd850_looser_top,0.85,0.475,20,0.17329500660254296,0.018735282802669513,0.00046180865979788014,6.768069891194415e-05,121.0,104,58.197782597585416,35.976766660171556,97.5,83
ablation_tighter_qcd_same_top,0.85,0.5,20,0.17270652548000442,0.019127692064773043,0.0004719547617923536,6.93431780877664e-05,117.0,100,56.331199830518244,32.31030081722552,95.5,81
