seed,qcd_auc,qcd_weighted_auc,top_auc,top_weighted_auc
10,0.8392634899398804,0.8207454880401507,0.7604975240899358,0.7662152579664296
11,0.8490170968359511,0.8366505160779012,0.7758743754461099,0.8043190028072253
12,0.8494194026168372,0.8439113998503386,0.7616833123559508,0.7703087585558479
13,0.8429691742462836,0.8281330130681392,0.7688907274025046,0.7813379013914952
14,0.8184105125275305,0.8105988482334263,0.7600262760521085,0.7738581056631442
15,0.8236218016731935,0.8051597737809373,0.7782392955118117,0.8100063263292286
16,0.8376026658398492,0.8233235903432055,0.7552050732992918,0.7713627210328405
17,0.8437296781525832,0.8398712639352621,0.792004069342916,0.814726545128406
18,0.8399127307987556,0.8255000049356904,0.7621662841033383,0.779016611762311
19,0.8403132635407246,0.849381766509399,0.7722234528702815,0.7999851570044796
20,0.8420200097573403,0.8281090852555717,0.7821177984105088,0.791216215079671
21,0.8477509624712626,0.8485864797555378,0.7807182437844289,0.8066339196006659
22,0.8275402427105555,0.8241729197537082,0.7810710119949166,0.7840131926916462
23,0.827267167451183,0.800322110681175,0.7855422147445703,0.7817541855872033
24,0.8435567681118785,0.8290677146607435,0.7846050730314584,0.8076223352346443
25,0.8411047008814078,0.8326002190643511,0.7570522403135227,0.7584633029588218
26,0.8374711053273807,0.8327154144833546,0.7720385798859157,0.7973790337018827
27,0.8403946738518668,0.8447225176096358,0.7619233015378626,0.7919945241844514
28,0.8424617604304963,0.8496233480042197,0.7675739427194862,0.7812037316041127
29,0.8275737235452092,0.8213676115897831,0.7935592224041651,0.8116797146155845
