seed,bootstrap,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB
10,0,previous_v2_loose_mid,0.775,0.5,97.87743473361337,309478.6457871446,0.00031626555197263013,0.17594107229891293,0.003162655519726301
10,1,previous_v2_loose_mid,0.775,0.5,112.4229183243064,287885.0450789174,0.00039051322826959663,0.20952956060258918,0.003905132282695966
10,2,previous_v2_loose_mid,0.775,0.5,97.21483196252902,331177.9539243833,0.0002935425828034608,0.16892807008039015,0.002935425828034608
10,3,previous_v2_loose_mid,0.775,0.5,110.88262289598762,366202.6350982998,0.0003027903468423251,0.18323260584694753,0.003027903468423251
10,4,previous_v2_loose_mid,0.775,0.5,102.20960860229911,406144.09065128217,0.00025165849006543076,0.16038053426470825,0.0025165849006543077
10,5,previous_v2_loose_mid,0.775,0.5,91.26296243119266,330026.7492351295,0.00027653201639777334,0.1588619873460355,0.0027653201639777332
10,6,previous_v2_loose_mid,0.775,0.5,96.40787298330939,324093.0263437701,0.00029746975450514073,0.16934705875422765,0.002974697545051407
10,7,previous_v2_loose_mid,0.775,0.5,91.63396393390074,331661.5282286685,0.00027628758880566477,0.15911419467791893,0.0027628758880566475
10,8,previous_v2_loose_mid,0.775,0.5,102.57772125290151,306084.54334283806,0.00033512872010007583,0.18540965572015725,0.0033512872010007582
10,9,previous_v2_loose_mid,0.775,0.5,119.69999339781141,363988.64730464725,0.00032885639231936323,0.19840390114475032,0.0032885639231936326
10,10,previous_v2_loose_mid,0.775,0.5,100.59569064385983,386671.7489890454,0.0002601578494081029,0.1617737881661593,0.002601578494081029
10,11,previous_v2_loose_mid,0.775,0.5,110.36726518514426,388828.6757306105,0.0002838454879331206,0.17699505710138175,0.002838454879331206
10,12,previous_v2_loose_mid,0.775,0.5,74.9563158218194,384394.7255473777,0.00019499829430562993,0.12089811302368984,0.0019499829430562991
10,13,previous_v2_loose_mid,0.775,0.5,106.69480523543717,375146.27676646726,0.0002844085409965454,0.1741979158569966,0.002844085409965454
10,14,previous_v2_loose_mid,0.775,0.5,107.431030536642,358367.6251783976,0.0002997788387920426,0.1794590470957288,0.002997788387920426
10,15,previous_v2_loose_mid,0.775,0.5,105.3695996932685,414067.7468564478,0.0002544742991774214,0.16374936652259128,0.0025447429917742144
10,16,previous_v2_loose_mid,0.775,0.5,110.14639759478281,327569.8501536447,0.0003362531610986765,0.19245018673640557,0.003362531610986765
10,17,previous_v2_loose_mid,0.775,0.5,107.35451915441584,365347.69154489285,0.00029384206233919625,0.17760989079937609,0.002938420623391962
10,18,previous_v2_loose_mid,0.775,0.5,98.39279244445673,368762.692433968,0.00026681872777050325,0.16202789791210997,0.0026681872777050324
10,19,previous_v2_loose_mid,0.775,0.5,100.8165582342213,325461.93234463816,0.00030976451687586196,0.1767183987436248,0.003097645168758619
