seed,working_point,qcd_threshold,top_threshold,sample,group,rows,xsec_pb,expected_events_450fb
10,qcd850_looser_top,0.85,0.475,qcd_bbbb_iht600plus_20000,background,16,0.004023680892522121,1810.6564016349546
10,qcd850_looser_top,0.85,0.475,ttbar_200k,background,24,0.1769748752832413,79638.69387745859
10,previous_nominal_balanced,0.825,0.525,VBF_HH4b_SMnorm,signal,81,1.3252055421686744e-05,5.963424939759035
10,previous_nominal_balanced,0.825,0.525,Zbbbb_100k,background,39,0.007594990702149302,3417.7458159671855
10,previous_nominal_balanced,0.825,0.525,ggF_HH4b_SMnorm,signal,48,0.00014890018348623853,67.00508256880734
10,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht200to400_combined120k,background,68,0.20706790995035862,93180.55947766137
10,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht400to600_20000,background,42,0.0589430026988226,26524.35121447017
10,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht600plus_20000,background,21,0.005281081171435286,2376.486527145879
10,previous_nominal_balanced,0.825,0.525,ttbar_200k,background,28,0.2064706878304482,92911.80952370168
11,previous_v2_loose_mid,0.775,0.5,VBF_HH4b_SMnorm,signal,77,1.3015811618257263e-05,5.857115228215768
11,previous_v2_loose_mid,0.775,0.5,Zbbbb_100k,background,57,0.011276126900800001,5074.25710536
11,previous_v2_loose_mid,0.775,0.5,ggF_HH4b_SMnorm,signal,70,0.0002094595132743363,94.25678097345134
11,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht100to200_20000,background,2,0.06387430344368648,28743.436549658916
11,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht200to400_combined120k,background,109,0.3218113933666332,144815.12701498496
11,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht400to600_20000,background,55,0.08029904310166427,36134.56939574892
11,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht600plus_20000,background,34,0.008623743864496084,3880.684739023238
11,previous_v2_loose_mid,0.775,0.5,ttbar_200k,background,33,0.2472030003956386,111241.35017803738
11,previous_v2_loose_best,0.8,0.5,VBF_HH4b_SMnorm,signal,65,1.0987373443983404e-05,4.944318049792532
11,previous_v2_loose_best,0.8,0.5,Zbbbb_100k,background,49,0.009693512598933335,4362.080669520001
11,previous_v2_loose_best,0.8,0.5,ggF_HH4b_SMnorm,signal,58,0.00017355216814159293,78.09847566371681
11,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,85,0.25095383886388833,112929.22748874975
11,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht400to600_20000,background,44,0.0642392344813314,28907.65551659913
11,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht600plus_20000,background,27,0.006848267186511596,3081.720233930218
11,previous_v2_loose_best,0.8,0.5,ttbar_200k,background,31,0.2322210003716605,104499.45016724723
11,ablation_best_median,0.825,0.5,VBF_HH4b_SMnorm,signal,54,9.127971784232365e-06,4.107587302904564
11,ablation_best_median,0.825,0.5,Zbbbb_100k,background,39,0.007715244721600001,3471.8601247200004
11,ablation_best_median,0.825,0.5,ggF_HH4b_SMnorm,signal,53,0.0001585907743362832,71.36584845132744
11,ablation_best_median,0.825,0.5,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,ablation_best_median,0.825,0.5,qcd_bbbb_iht200to400_combined120k,background,58,0.1712390900483003,77057.59052173512
11,ablation_best_median,0.825,0.5,qcd_bbbb_iht400to600_20000,background,34,0.049639408462846986,22337.733808281144
11,ablation_best_median,0.825,0.5,qcd_bbbb_iht600plus_20000,background,22,0.005580069559379818,2511.031301720918
11,ablation_best_median,0.825,0.5,ttbar_200k,background,27,0.2022570003237043,91015.65014566694
11,ablation_tighter_qcd_same_top,0.85,0.5,VBF_HH4b_SMnorm,signal,41,6.930497095435684e-06,3.118723692946058
11,ablation_tighter_qcd_same_top,0.85,0.5,Zbbbb_100k,background,21,0.004154362542400001,1869.4631440800003
11,ablation_tighter_qcd_same_top,0.85,0.5,ggF_HH4b_SMnorm,signal,45,0.00013465254424778762,60.59364491150443
11,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht200to400_combined120k,background,39,0.1151435260669605,51814.58673013223
11,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht400to600_20000,background,26,0.037959547648059457,17081.796441626757
11,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht600plus_20000,background,16,0.004058232406821687,1826.204583069759
11,ablation_tighter_qcd_same_top,0.85,0.5,ttbar_200k,background,22,0.16480200026375907,74160.90011869158
11,ablation_qcd825_looser_top,0.825,0.475,VBF_HH4b_SMnorm,signal,55,9.297008298755186e-06,4.183653734439834
11,ablation_qcd825_looser_top,0.825,0.475,Zbbbb_100k,background,40,0.007913071509333335,3560.882179200001
11,ablation_qcd825_looser_top,0.825,0.475,ggF_HH4b_SMnorm,signal,54,0.00016158305309734515,72.71237389380532
11,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht200to400_combined120k,background,60,0.1771438862568624,79714.74881558807
11,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht400to600_20000,background,34,0.049639408462846986,22337.733808281144
11,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht600plus_20000,background,22,0.005580069559379818,2511.031301720918
11,ablation_qcd825_looser_top,0.825,0.475,ttbar_200k,background,29,0.2172390003476824,97757.55015645707
11,qcd850_looser_top,0.85,0.475,VBF_HH4b_SMnorm,signal,42,7.099533609958506e-06,3.1947901244813277
11,qcd850_looser_top,0.85,0.475,Zbbbb_100k,background,22,0.004352189330133334,1958.4851985600003
11,qcd850_looser_top,0.85,0.475,ggF_HH4b_SMnorm,signal,45,0.00013465254424778762,60.59364491150443
11,qcd850_looser_top,0.85,0.475,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,qcd850_looser_top,0.85,0.475,qcd_bbbb_iht200to400_combined120k,background,41,0.12104832227552259,54471.74502398517
11,qcd850_looser_top,0.85,0.475,qcd_bbbb_iht400to600_20000,background,26,0.037959547648059457,17081.796441626757
11,qcd850_looser_top,0.85,0.475,qcd_bbbb_iht600plus_20000,background,16,0.004058232406821687,1826.204583069759
11,qcd850_looser_top,0.85,0.475,ttbar_200k,background,24,0.17978400028773717,80902.80012948172
11,previous_nominal_balanced,0.825,0.525,VBF_HH4b_SMnorm,signal,54,9.127971784232365e-06,4.107587302904564
11,previous_nominal_balanced,0.825,0.525,Zbbbb_100k,background,36,0.007121764358400001,3204.7939612800005
11,previous_nominal_balanced,0.825,0.525,ggF_HH4b_SMnorm,signal,49,0.0001466216592920354,65.97974668141593
11,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht200to400_combined120k,background,58,0.1712390900483003,77057.59052173512
11,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht400to600_20000,background,33,0.04817942586099855,21680.741637449348
11,previous_nominal_balanced,0.825,0.525,qcd_bbbb_iht600plus_20000,background,22,0.005580069559379818,2511.031301720918
11,previous_nominal_balanced,0.825,0.525,ttbar_200k,background,27,0.2022570003237043,91015.65014566694
12,previous_v2_loose_mid,0.775,0.5,VBF_HH4b_SMnorm,signal,87,1.3953498425196852e-05,6.279074291338583
12,previous_v2_loose_mid,0.775,0.5,Zbbbb_100k,background,57,0.011173701305499589,5028.165587474815
12,previous_v2_loose_mid,0.775,0.5,ggF_HH4b_SMnorm,signal,59,0.00018731946009389677,84.29375704225355
12,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht200to400_combined120k,background,111,0.329067132301029,148080.20953546307
12,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht400to600_20000,background,44,0.06355184967657007,28598.332354456532
12,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht600plus_20000,background,22,0.0056730707187028166,2552.8818234162673
12,previous_v2_loose_mid,0.775,0.5,ttbar_200k,background,33,0.2377677713729043,106995.49711780694
12,previous_v2_loose_best,0.8,0.5,VBF_HH4b_SMnorm,signal,79,1.2670418110236223e-05,5.7016881496063005
12,previous_v2_loose_best,0.8,0.5,Zbbbb_100k,background,47,0.009213402830850544,4146.031273882744
12,previous_v2_loose_best,0.8,0.5,ggF_HH4b_SMnorm,signal,55,0.00017461983568075123,78.57892605633805
