replication_lane	replication_rank_within_lane	sample_group	process_family	remote_path	remote_size_bytes	remote_adler32	tree_name	tree_entries	branch_count	schema_sha256	gen_weight_branch_present	scanned_entry_count	selected_valid_event_count	preprocessing_failure_count	truncated_event_count	ensemble_mean_signal_probability	ensemble_signal_probability_quantile_0p5	ensemble_signal_probability_quantile_0p9	ensemble_signal_probability_quantile_0p99	ensemble_mean_qcd_probability	ensemble_mean_ttbar_probability	ensemble_signal_probability_gt_0p5_fraction	ensemble_signal_probability_gt_0p9_fraction	ensemble_signal_probability_gt_0p997_fraction	model_overall_top1_agreement_fraction	model_signal_grid_top1_agreement_fraction	physical_weights_used
qcd	1	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	969674887	f6ebd6b5	tree	157130	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	True	128	128	0	0	0.08983624575992584	0.007298920625226895	0.39842197713767097	0.8466502161907579	0.8946879163268022	0.015475842566381535	0.0703125	0.0	0.0	0.9921875	0.265625	False
qcd	2	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	970883574	a635adbc	tree	157313	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	True	128	128	0	1	0.10180924285604159	0.008664785195369026	0.39558553844121125	0.9126752025384118	0.8907053716926991	0.007485386399270618	0.0703125	0.015625	0.0	0.984375	0.2265625	False
ttbar	1	TTbar_forInfer_ntuple	ttbar	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0045.root	1355253655	5ee51885	tree	200000	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb	True	128	128	0	1	0.032855599385879605	1.1099470487077896e-06	0.0955711751805419	0.5685224947267806	0.07883717259672435	0.8883072360816489	0.015625	0.0	0.0	0.953125	0.0625	False
ttbar	2	TTbar_forInfer_ntuple	ttbar	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0036.root	1355222248	90c6c23b	tree	200000	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb	True	128	128	0	0	0.055009020842613006	1.680490132725148e-08	0.08332918692089016	0.905048368952259	0.05929762884131867	0.8856933554606788	0.046875	0.015625	0.0	0.953125	0.109375	False
zjets	1	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	1763435733	c5d36b3f	tree	252987	96	97f48fd87af56ed545a3ca84a4292f635b8a768ef852b9cad2600773db6fe651	True	128	128	0	0	0.26979552245245386	0.09494512988959514	0.9079719461897903	0.9994847419454497	0.6970520789016537	0.033152396811056264	0.234375	0.109375	0.03125	0.9375	0.3046875	False
zjets	2	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	1759940750	aa7186e9	tree	252660	96	97f48fd87af56ed545a3ca84a4292f635b8a768ef852b9cad2600773db6fe651	True	128	128	0	2	0.26997892420993297	0.11047483028357874	0.8403598664875688	0.9960795954889635	0.6889543409141272	0.04106673298881998	0.2265625	0.0859375	0.0078125	0.9296875	0.3359375	False
zz	1	ZZ_ntuple	zz	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0000.root	1122900950	5acf887b	tree	200000	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb	True	128	128	0	0	0.026409767598140108	3.3005427966454013e-12	0.0001743892838459649	0.8504895250314921	0.04736224515316719	0.9262279904701245	0.0234375	0.0078125	0.0	0.984375	0.015625	False
