replication_lane	replication_rank_within_lane	remote_path	temporary_local_path	temporary_root_removed
qcd	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/00_QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	True
qcd	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/01_QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	True
ttbar	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0045.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/02_selected_ntuples_0045.root	True
ttbar	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0036.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/03_selected_ntuples_0036.root	True
zjets	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/04_ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	True
zjets	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/05_ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	True
zz	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0000.root	/tmp/iturkmen_track_b_40J7Q_R1_work_20260806_v1_iPTScz/06_selected_ntuples_0000.root	True
