sample	control_role	target_output_group	events	mean_signal_probability	mean_qcd_probability	mean_ttbar_probability	median_signal_probability	signal_top1_count	qcd_top1_count	ttbar_top1_count	target_top1_count	target_top1_fraction	signal_gt_0p5_count	signal_gt_0p9_count	signal_gt_0p997_count	model_top1_agreement_fraction	receipt_schema_adapter	receipt_path	receipt_sha256	manifest_path	archive_resolution	score_archive_path	score_archive_sha256
zh	ZH resonant signal-like control	signal_grid	64	0.74921794851	0.159643790278	0.0911382579423	0.95242006578	34	22	8	34	0.53125	50	38	15	0.703125	zh_wrapped_execution_backend	docs/checkpoints/track_b_phase2_zh_real_inference_20260801_v1/zh_64_real_inference_receipt.json	573ebc21384da52186b9a53378cc6567313a48c7c27ad90e42a9fd4385056f3a	docs/checkpoints/track_b_phase2_zh_real_inference_20260801_v1/artifact_manifest.tsv	manifest_path	/tmp/iturkmen_track_b_zh_real_inference_eH7wst/zh_64_model_scores.npz	d64aee9ce72d7d5cff1965914cddcad83db6dd5eabae68c0485b9151d305a595
zz	ZZ resonant signal-like control	signal_grid	64	0.533441476283	0.390630486831	0.0759280364453	0.576534107331	20	38	6	20	0.3125	34	24	7	0.734375	standard	docs/checkpoints/track_b_phase2_zz_real_inference_20260804_v1/zz_64_real_inference_receipt.json	5aecb8a1837a7e4eef3cf1d0686e4f529eb3add660d7c4b47ce866b1abc8e6fb	docs/checkpoints/track_b_phase2_zz_real_inference_20260804_v1/artifact_manifest.tsv	manifest_path	/tmp/iturkmen_track_b_zz_64_inference_20260804_v1/zz_64_model_scores.npz	a600bfdc6d2ebd7f58ac58d7f5cc014caa5ede85fa636f549d6f2699af17c88d
qcd	QCD background control	qcd	64	0.0894953090717	0.88854403689	0.0219606461784	0.016753354816	0	62	2	62	0.96875	3	1	0	0.96875	standard	docs/checkpoints/track_b_phase2_qcd_real_inference_20260804_v1/qcd_64_real_inference_receipt.json	fa6d292d387f3559b4fff5550156d8c5537b83af562f3bb39997a1e88118b590	docs/checkpoints/track_b_phase2_qcd_real_inference_20260804_v1/artifact_manifest.tsv	manifest_path	/tmp/iturkmen_track_b_qcd_64_inference_20260804_v1/qcd_64_model_scores.npz	db33458a8f46f6da71357bc55521d08350e61badc90dc79dbec95304426056e6
ttbar	inclusive ttbar background control	ttbar	64	0.174069987693	0.168742712951	0.657187306704	0.0418272474042	1	13	50	50	0.78125	9	1	0	0.9375	standard	docs/checkpoints/track_b_phase2_ttbar_real_inference_20260804_v1/ttbar_64_real_inference_receipt.json	c7818028cc8646844fb52d59748bb4e54a439248d8f50fe39d6294e8c66f12e8	docs/checkpoints/track_b_phase2_ttbar_real_inference_20260804_v1/artifact_manifest.tsv	manifest_path	/tmp/iturkmen_track_b_ttbar_64_inference_20260804_v1/ttbar_64_model_scores.npz	07fc8683dc1d336f359b14e2ade6a95d12a41b4d839366d076703c9d9dc3586b
