campaign	target_tag	family	events	dataset_split	accounting_class	count_toward_5m	training_authorized	physics_yield_authorized	overlap_group	normalization_rule	promotion_audit	promotion_reason
unified_background_5m_wavea_pilots_20260720_retry1	ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard002_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard003_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard004_10k	ttbar_inclusive	10000	validation	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard005_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard006_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard007_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard008_10k	ttbar_inclusive	10000	train	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard009_10k	ttbar_inclusive	10000	validation	promoted_legacy_physical_reference	True	True	False	ttbar	higher_order_reference_xsec_pending	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/unified_background_phase2_ttbar_promotion_audit_20260721_v3.json	exact manifest_receipt_eos lineage validated;physical yield normalization remains pending
