family	display_name	role	process_group	dataset_status	existing_rows	successful_rows	failed_or_incomplete_rows	existing_successful_events	train_existing_events	validation_existing_events	existing_candidate_rows	native_counted_events	promoted_counted_events	counted_existing_events	submitted_pending_events	submitted_train_events	submitted_validation_events	submitted_pending_counted_events	projected_counted_after_success	training_authorized	physics_yield_authorized	overlap_group	normalization_rule	campaign_count	accounting_classes	notes
bbh_hbb_4fs	bbh_hbb_4fs	background	single_higgs	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	bbh_hbb	exclusive_generator_xsec_times_Hbb_BR	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
ggf_hh4b_sm	ggF_HH4b_SMnorm	signal	hh_signal	legacy_existing_lineage_audit_required	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	REVIEW_REQUIRED	False	hh_ggf_signal	signal_normalization_convention_pending	0		Existing ggF HH to 4b signal sample. Record exact ROOT, Parquet, manifest, receipt, generator convention, and EOS lineage before final training or physical-yield evaluation.
ggh_hbb	ggh_hbb	background	single_higgs	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	ggh_hbb	reference_xsec_times_Hbb_BR	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
qcd_bbbb_general	qcd_bbbb_general	background	qcd	receipt_backed_existing	16	15	1	150000	120000	30000	5416	0	0	0	0	0	0	0	0	False	False	REVIEW_REQUIRED	REVIEW_REQUIRED	3	tracked_failed,valid_not_counted	policy_status=review_required
qcd_bbbb_iht400to600	qcd_bbbb_iht400to600	background	qcd	receipt_backed_existing	16	15	1	150000	120000	30000	23100	0	0	0	0	0	0	0	0	False	False	REVIEW_REQUIRED	REVIEW_REQUIRED	3	tracked_failed,valid_not_counted	policy_status=review_required
schannel_single_top	schannel_single_top	background	single_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	schannel_single_top	higher_order_reference_xsec	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
tchannel_antitop	tchannel_antitop	background	single_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	tchannel_antitop	higher_order_reference_xsec	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
tchannel_top	tchannel_top	background	single_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	tchannel_top	higher_order_reference_xsec	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
triboson_zbb	triboson_zbb	background	diboson_triboson	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	triboson	exclusive_process_xsec_times_Zbb_BR	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
ttbar_inclusive	ttbar_inclusive	background	top	receipt_backed_existing	76	75	1	750000	600000	150000	2439	0	750000	750000	0	0	0	0	750000	True	False	ttbar	higher_order_reference_xsec_pending	3	tracked_failed,valid_not_counted	policy_status=valid_legacy_promotion_review_required
ttbb_diagnostic	ttbb diagnostic	diagnostic_background	top_heavy_flavor	legacy_existing_lineage_audit_required	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	REVIEW_REQUIRED	False	ttbar_heavy_flavor	diagnostic_only_until_ttbar_overlap_resolved	0		Keep separate from inclusive ttbar until the overlap and stitching convention is frozen.
tth_hbb	tth_hbb	background	rare_top	receipt_backed_existing_plus_submitted_pending_receipt	2	2	0	10100	10100	0	1201	10000	0	10000	100000	80000	20000	100000	110000	True	False	ttH	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Hbb_BR_pending	3	counted_successful,valid_not_counted	policy_status=counted_generation_normalization_pending; submitted production is pending receipt and EOS validation
tttt	tttt	background	rare_top	receipt_backed_existing_plus_submitted_pending_receipt	2	2	0	10100	10100	0	1877	10000	0	10000	100000	80000	20000	100000	110000	True	False	tttt	inclusive_generator_xsec_diagnostic;higher_order_reference_xsec_pending	3	counted_successful,valid_not_counted	policy_status=counted_generation_normalization_pending; submitted production is pending receipt and EOS validation
ttw	ttw	background	rare_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	ttW	higher_order_reference_xsec	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
ttz_zbb	ttz_zbb	background	rare_top	receipt_backed_existing_plus_submitted_pending_receipt	2	2	0	10100	0	10100	1111	10000	0	10000	100000	80000	20000	100000	110000	True	False	ttZ	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Zbb_BR_pending	3	counted_successful,valid_not_counted	policy_status=counted_generation_normalization_pending; submitted production is pending receipt and EOS validation
tw_antitop	tw_antitop	background	single_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	tW	higher_order_reference_xsec_with_tW_scheme	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
tw_top	tw_top	background	single_top	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	tW	higher_order_reference_xsec_with_tW_scheme	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
vbf_hbb	vbf_hbb	background	single_higgs	receipt_backed_existing_plus_submitted_pending_receipt	2	2	0	10100	0	10100	6	10000	0	10000	100000	80000	20000	100000	110000	True	False	vbf_hbb	decay_chain_generator_xsec_diagnostic;reference_xsec_times_Hbb_BR_pending	3	counted_successful,valid_not_counted	policy_status=counted_generation_normalization_pending; submitted production is pending receipt and EOS validation
vbf_hh4b_sm	VBF_HH4b_SMnorm	signal	hh_signal	legacy_existing_lineage_audit_required	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	REVIEW_REQUIRED	False	hh_vbf_signal	signal_normalization_convention_pending	0		Existing VBF HH to 4b signal sample. Record exact ROOT, Parquet, manifest, receipt, generator convention, and EOS lineage before final training or physical-yield evaluation.
wh_hbb	wh_hbb	background	single_higgs	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	wh_hbb	reference_xsec_times_Hbb_BR	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
ww	ww	background	diboson_triboson	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	WW	higher_order_reference_xsec	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
wz_zbb	wz_zbb	background	diboson_triboson	planned_template_or_pilot_pending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	WZ	reference_xsec_times_Zbb_BR	0		Wave-B family exists in the production plan but has no successful receipt-backed event in this snapshot
zbbbb	zbbbb	background	zjets_heavy_flavor	receipt_backed_existing	26	25	1	250000	200000	50000	7284	0	0	0	0	0	0	0	0	True	False	zjets_hf	training_only_until_overlap_and_stitching_frozen	4	tracked_failed,valid_not_counted	policy_status=ml_enrichment_training_only
zh4b_forced	zh4b_forced	background	single_higgs	failed_or_incomplete_only	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	False	False	REVIEW_REQUIRED	REVIEW_REQUIRED	2	tracked_failed	policy_status=review_required
zz4b_forced	zz4b_forced	background	diboson	failed_or_incomplete_only	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	False	False	REVIEW_REQUIRED	REVIEW_REQUIRED	2	tracked_failed	policy_status=review_required
