relative_path	size_bytes	sha256
README.md	1463	43b10003ccf82c025af4c17d159eb4787a351d2b6b9dec360c7045c8e48523a3
evidence/40J7Q_R1_execution/40J7Q_replication_summary.json	3755	4de4bfc243e9770d31117ab51bce0741f6c16530193fe32bc499f4ca76bf0457
evidence/40J7Q_R1_execution/README.md	1187	b4be71295f6b69ab71406449c07aa54359601068230477334a674f80aa661efe
evidence/40J7Q_R1_execution/SHA256SUMS	5081	7de883273cdc3d1bc627adda45b983cc59e93b5a83ad6d79520b760356216a72
evidence/40J7Q_R1_execution/artifact_manifest.tsv	5108	c0d897d25060e6f613e4fed3419a4a4194655fb495b8f775ff9e59af642d0e72
evidence/40J7Q_R1_execution/memory_diagnostics_SHA256SUMS	359	f3ea513dda13015e4e81ff1dc98c0ae0391694a1c2864e370b51b401babf8cd6
evidence/40J7Q_R1_execution/memory_environment_after.txt	436	e1fd2761f78cedaf185c2c4b0eca3ed01c319d61da7e2a2539446a3a0fa59d60
evidence/40J7Q_R1_execution/memory_environment_before.txt	1438	10674f375379d14170b3c166f034251a8a379fc8f80056da0125a5fd576da3a5
evidence/40J7Q_R1_execution/per_file/00_qcd_r1_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/branch_schema.tsv	2594	5c7de3765458ef5b2844c45282c78c1dc195653a12cd8e0d6644b23c2dfe96d9
evidence/40J7Q_R1_execution/per_file/00_qcd_r1_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/file_summary.json	1411	49655022c721fc20b07c4a8ec3db719809f5b8c511460fa20b9a2b4e51760b98
evidence/40J7Q_R1_execution/per_file/00_qcd_r1_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/preprocessing_failures.tsv	100	ade1adc94583ed375844b01dee807ed276d195e4de36083be50b4537f0389d5a
evidence/40J7Q_R1_execution/per_file/00_qcd_r1_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/unified_event_rows.tsv	136993	9d5c1be3aec6002e434d07c6a3a4084b196ffe067359d159a2051dee7f3eb181
evidence/40J7Q_R1_execution/per_file/01_qcd_r2_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/branch_schema.tsv	2594	5c7de3765458ef5b2844c45282c78c1dc195653a12cd8e0d6644b23c2dfe96d9
evidence/40J7Q_R1_execution/per_file/01_qcd_r2_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/file_summary.json	1417	e1d1a9c4edd2cb1b1bd6625ec6e7a114cc791087042055f202e9bfa6d39baa58
evidence/40J7Q_R1_execution/per_file/01_qcd_r2_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/preprocessing_failures.tsv	100	ade1adc94583ed375844b01dee807ed276d195e4de36083be50b4537f0389d5a
evidence/40J7Q_R1_execution/per_file/01_qcd_r2_QCD_DelphesHH4JTrig_forInfer_merged_ntuple/unified_event_rows.tsv	137017	a53c5c79fc08ef4dc81ec4114822d429a8b60ffb6c15ece03edcb815c2f92e30
evidence/40J7Q_R1_execution/per_file/02_ttbar_r1_TTbar_forInfer_ntuple/branch_schema.tsv	2856	16ec14470954aff8edf728c30a1c2388763b1126533aec1422633622f811d532
