path,relative_path,basename,size_bytes,size_gib,suggested_family,used_in_phase1,phase1_process,phase1_shard,phase1_split,phase1_tag
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8.hepmc,HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8.hepmc,HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8.hepmc,5469731,0.005094083957374096,ggf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8.hepmc,HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8.hepmc,HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8.hepmc,5063917,0.00471614021807909,vbf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_01_20_pythia8.hepmc,HH4b_smoke_vbf_run_01_20_pythia8.hepmc,HH4b_smoke_vbf_run_01_20_pythia8.hepmc,5063917,0.00471614021807909,vbf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_02_200_pythia8.hepmc,HH4b_smoke_vbf_run_02_200_pythia8.hepmc,HH4b_smoke_vbf_run_02_200_pythia8.hepmc,51362640,0.04783518612384796,vbf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_03_1000_pythia8.hepmc,HH4b_smoke_vbf_run_03_1000_pythia8.hepmc,HH4b_smoke_vbf_run_03_1000_pythia8.hepmc,268878542,0.2504126559942961,vbf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ggf_hh4b_ak4ak8_10k_pythia8.hepmc,ggf_hh4b_ak4ak8_10k_pythia8.hepmc,ggf_hh4b_ak4ak8_10k_pythia8.hepmc,2796129265,2.6040983060374856,ggf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,2679927648,2.495877116918564,qcd_bbbb,True,qcd_bbbb_general,0,train,qcd_bbbb_general_run2_frozen_v2_shard000_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,2690999755,2.506188820116222,qcd_bbbb,True,qcd_bbbb_general,1,train,qcd_bbbb_general_run2_frozen_v2_shard001_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,2680343800,2.4962646886706352,qcd_bbbb,True,qcd_bbbb_general,2,train,qcd_bbbb_general_run2_frozen_v2_shard002_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,2671166470,2.4877176340669394,qcd_bbbb,True,qcd_bbbb_general,3,validation,qcd_bbbb_general_run2_frozen_v2_shard003_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,2662320043,2.4794787568971515,qcd_bbbb,True,qcd_bbbb_general,4,test,qcd_bbbb_general_run2_frozen_v2_shard004_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc,2869170668,2.6721234135329723,qcd_bbbb,True,qcd_bbbb_iht400to600,0,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard000_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc,2870945831,2.6737766629084945,qcd_bbbb,True,qcd_bbbb_iht400to600,1,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard001_10k
