process,shard,split,tag,input_hepmc,input_basename,input_size_bytes,input_hepmc_sha256,expected_run_name,banner_path,banner_sha256,nevents,iseed,lhaid,ickkw,cut_decays,ihtmin,ihtmax,ptj,ptb,etaj,etab,drbb,drbj,process_definition,banner_integrated_weight_pb,metadata_generator_xsec_pb,xsec_relative_difference,lineage_status
qcd_bbbb_general,0,train,qcd_bbbb_general_run2_frozen_v2_shard000_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,2679927648,421356836218c5ce8e5c2b401e67f3d5297dd99701476456ae51dde535394a33,run_qcd_bbbb_ak4ak8_extra50k_v1_000,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_000/run_qcd_bbbb_ak4ak8_extra50k_v1_000_tag_1_banner.txt,63fd31833684e71ee83a8dc49848ff62a32ecd2cc871c5e0d562096ae4e2e902,10000,717000,230000,,,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,348.177379,348.1773681640625,3.1121888230223214e-08,EXACT_LINEAGE_VALID
qcd_bbbb_general,1,train,qcd_bbbb_general_run2_frozen_v2_shard001_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,2690999755,d04026c3f9aa90a9d6f7a418ab27ff3e2bf485af5c74590482c3932a9dda8377,run_qcd_bbbb_ak4ak8_extra50k_v1_001,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_001/run_qcd_bbbb_ak4ak8_extra50k_v1_001_tag_1_banner.txt,135ded00b5a53841ecf5338013d10c4d0cee3345b090a97dc89da37410bb6b01,10000,717001,230000,,,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,345.259844,345.25982666015625,5.022259042920514e-08,EXACT_LINEAGE_VALID
qcd_bbbb_general,2,train,qcd_bbbb_general_run2_frozen_v2_shard002_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,2680343800,2763ffce6550516d422a477d45174a0ac26222f67c2bd9df837c8d490e75d000,run_qcd_bbbb_ak4ak8_extra50k_v1_002,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_002/run_qcd_bbbb_ak4ak8_extra50k_v1_002_tag_1_banner.txt,1eb9471142834fd051663de0999f9028568016356598bbcb4b4ca437fa189d1e,10000,717002,230000,,,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,346.346233,346.3462219238281,3.198005580388027e-08,EXACT_LINEAGE_VALID
qcd_bbbb_general,3,validation,qcd_bbbb_general_run2_frozen_v2_shard003_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,2671166470,a8d1418bb1361fd34e1f406fad296cb466e0379c05fba6608a5ff046570f04c1,run_qcd_bbbb_ak4ak8_extra50k_v1_003,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_003/run_qcd_bbbb_ak4ak8_extra50k_v1_003_tag_1_banner.txt,d8d0414e4330fbf38b806d61abfa68dde02ff4481b95388903139b62befde1fe,10000,717003,230000,,,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,347.253722,347.25372314453125,3.2959510452202707e-09,EXACT_LINEAGE_VALID
qcd_bbbb_general,4,test,qcd_bbbb_general_run2_frozen_v2_shard004_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,2662320043,631ffa5abb1c75ca48cf9216bd888cce5be41aad71b2c423eca7889a03aa1580,run_qcd_bbbb_ak4ak8_extra50k_v1_004,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_004/run_qcd_bbbb_ak4ak8_extra50k_v1_004_tag_1_banner.txt,3045f795a7052e3cab608ba320d87b58702a5e26df42e9e1fa918b8ab9437299,10000,717004,230000,,,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,346.977335,346.9773254394531,2.7553807966451852e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,0,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard000_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc,2869170668,f1a44f72f849f695240df0ebc0c66b6bbab9cefea49462febc9f233f68959857,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_000,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_000/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_000_tag_1_banner.txt,79ab054d0892eb196f399305142467a9a77a8c6b855f0afcf1c4a32ec4a019fc,10000,852000,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.761782,9.761781692504883,3.149989595841382e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,1,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard001_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc,2870945831,2f63833eba1ae95f3bc6daa456abe2e2f54c813660363d0fb5bb94b0c1625993,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_001,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_001/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_001_tag_1_banner.txt,d7da4b124cee1ccefe657e07ee1a9cacd57b5e3743090d0bc9be0aa3674768ca,10000,852001,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7981871,9.798187255859375,1.590696050127568e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,2,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard002_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc,2873945205,834fa2d5e47144648275354887bea7b6f04b5a99fed7af7c9e62348c40d9149c,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_002,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_002/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_002_tag_1_banner.txt,6b2c60ada132914063f58f68c116ee2685b9b629eb4f9ee4c899ab90005ba7dd,10000,852002,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7950027,9.795002937316895,2.422836443161617e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,3,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard003_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc,2879442924,fb7576da3f56e4c1c8ec2b1ca1478b3e9c06ff825625fe1cf756810f6ff7cab7,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_003,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_003/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_003_tag_1_banner.txt,52be2889872273872ab788ab4184dfbe41b688129b1d456651ee9a49d90fbafd,10000,852003,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7765557,9.776556015014648,3.222143449075003e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,4,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard004_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc,2870432599,fb20cc07575913e0bc7c41eadee1b3c2b9049dcc809d6df4559848c9ac5474f1,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_004,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_004/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_004_tag_1_banner.txt,357f70160ce9795dca93e3d1c98ee42a965a985009433e70fc8d619c34383c7a,10000,852004,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.774056499999999,9.774056434631348,6.687975554126173e-09,EXACT_LINEAGE_VALID
