banner_path,relative_banner_path,process_directory,run_directory,suggested_family,process_definition,nevents,iseed,lhaid,ickkw,ihtmin,ihtmax,htjmin,htjmax,ptj,ptb,etaj,etab,drjj,drbb,drbj,phase_space_signature,banner_sha256,size_bytes,mtime_ns
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke/Events/run_01/run_01_tag_1_banner.txt,HH4b_ggf_heft_smoke/Events/run_01/run_01_tag_1_banner.txt,HH4b_ggf_heft_smoke,run_01,ggf_hh4b,"import model /uscms_data/d3/iturkmen/hh4b_delphes/mg5_models/heft | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g | generate p p > h h, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke -f",10000,21,230000,,0.0,-1.0,,,,0.0,,-1.0,,0.0,,ihtmin=0.0; ihtmax=-1.0; ptb=0.0; ptbmax=-1.0; etab=-1.0; drbb=0.0; mmbb=0.0,717574e2109807af13566ebbc9fc377039d6b053e36459dbab2ab17345bb2e3c,20420,1783444525088203072
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke/Events/run_ggf_hh4b_ak4ak8_10k/run_ggf_hh4b_ak4ak8_10k_tag_1_banner.txt,HH4b_ggf_heft_smoke/Events/run_ggf_hh4b_ak4ak8_10k/run_ggf_hh4b_ak4ak8_10k_tag_1_banner.txt,HH4b_ggf_heft_smoke,run_ggf_hh4b_ak4ak8_10k,ggf_hh4b,"import model /uscms_data/d3/iturkmen/hh4b_delphes/mg5_models/heft | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g | generate p p > h h, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke -f",10000,716001,230000,,0.0,-1.0,,,20.0,25.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4; mmbb=0.0,0d62f3306bd3e0d34244c2f9d3d8db007ddb3dd5cdf190d187dac3340923a01a,20368,1784073996485126308
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf/Events/run_01_20/run_01_20_tag_1_banner.txt,HH4b_smoke_vbf/Events/run_01_20/run_01_20_tag_1_banner.txt,HH4b_smoke_vbf,run_01_20,vbf_hh4b,"import model sm | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | generate p p > h h j j QCD=0, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf -f",20,12345,230000,,0.0,-1.0,0.0,-1.0,20.0,0.0,5.0,-1.0,0.4,0.0,0.0,ihtmin=0.0; ihtmax=-1.0; htjmin=0.0; htjmax=-1.0; ptj=20.0; ptb=0.0; ptbmax=-1.0; etaj=5.0; etab=-1.0; drjj=0.4; drbb=0.0; drbj=0.0; mmbb=0.0,4e0f1c6a4ccf624aa7f3587cf7d18e72aeedaa5df1259b48e05e8c29a35c9d82,21035,1783378487385642487
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf/Events/run_02_200/run_02_200_tag_1_banner.txt,HH4b_smoke_vbf/Events/run_02_200/run_02_200_tag_1_banner.txt,HH4b_smoke_vbf,run_02_200,vbf_hh4b,"import model sm | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | generate p p > h h j j QCD=0, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf -f",200,23456,230000,,0.0,-1.0,0.0,-1.0,20.0,0.0,5.0,-1.0,0.4,0.0,0.0,ihtmin=0.0; ihtmax=-1.0; htjmin=0.0; htjmax=-1.0; ptj=20.0; ptb=0.0; ptbmax=-1.0; etaj=5.0; etab=-1.0; drjj=0.4; drbb=0.0; drbj=0.0; mmbb=0.0,b340a8caee8eb4b0e76c1d02d9590306e013a2609bbcce25536cbd75133b59d8,21037,1783381557236824120
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf/Events/run_03_1000/run_03_1000_tag_1_banner.txt,HH4b_smoke_vbf/Events/run_03_1000/run_03_1000_tag_1_banner.txt,HH4b_smoke_vbf,run_03_1000,vbf_hh4b,"import model sm | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | generate p p > h h j j QCD=0, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf -f",1000,34567,230000,,0.0,-1.0,0.0,-1.0,20.0,0.0,5.0,-1.0,0.4,0.0,0.0,ihtmin=0.0; ihtmax=-1.0; htjmin=0.0; htjmax=-1.0; ptj=20.0; ptb=0.0; ptbmax=-1.0; etaj=5.0; etab=-1.0; drjj=0.4; drbb=0.0; drbj=0.0; mmbb=0.0,653f8a8513eaf6aeeaf792bf082a061e5a8bdffa6fd6cd6bb1ffd01c00428cd1,21031,1783385409979944007
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf/Events/run_vbf_hh4b_ak4ak8_10k/run_vbf_hh4b_ak4ak8_10k_tag_1_banner.txt,HH4b_smoke_vbf/Events/run_vbf_hh4b_ak4ak8_10k/run_vbf_hh4b_ak4ak8_10k_tag_1_banner.txt,HH4b_smoke_vbf,run_vbf_hh4b_ak4ak8_10k,vbf_hh4b,"import model sm | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | generate p p > h h j j QCD=0, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf -f",10000,716002,230000,,0.0,-1.0,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; htjmin=0.0; htjmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drjj=0.4; drbb=0.4; drbj=0.4; mmbb=0.0,9a44ee57a217871809dd3a22c276af4c65ca51eb575b7f67988a18d0edad6a86,21034,1784076980133885781
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_01_200/run_01_200_tag_1_banner.txt,QCD_bbbb_presel_smoke/Events/run_01_200/run_01_200_tag_1_banner.txt,QCD_bbbb_presel_smoke,run_01_200,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke \,200,93001,230000,,0.0,-1.0,,,20.0,25.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4; mmbb=0.0,7400bb8e2a47c587fabe5c0f9ba20a4b37ddefb7eb3ccffb565da5b5863d179d,19492,1783451681865657159
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_02_1000/run_02_1000_tag_1_banner.txt,QCD_bbbb_presel_smoke/Events/run_02_1000/run_02_1000_tag_1_banner.txt,QCD_bbbb_presel_smoke,run_02_1000,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke \,1000,93002,230000,,0.0,-1.0,,,20.0,25.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4; mmbb=0.0,5900459ef60dbf1177e741206c7ffbd7114f22d5003ac56974c537b74a0d86a4,19502,1783452308921129789
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_03_10000/run_03_10000_tag_1_banner.txt,QCD_bbbb_presel_smoke/Events/run_03_10000/run_03_10000_tag_1_banner.txt,QCD_bbbb_presel_smoke,run_03_10000,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke \,10000,93003,230000,,0.0,-1.0,,,20.0,25.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4; mmbb=0.0,c11e1be27eecb0bc88289881cd8fd616b372886664115648eebcf42f46f87a54,19504,1783455318975063897
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_000/run_qcd_bbbb_ak4ak8_extra50k_v1_000_tag_1_banner.txt,QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_ak4ak8_extra50k_v1_000/run_qcd_bbbb_ak4ak8_extra50k_v1_000_tag_1_banner.txt,QCD_bbbb_presel_smoke,run_qcd_bbbb_ak4ak8_extra50k_v1_000,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke \,10000,717000,230000,,0.0,-1.0,,,20.0,25.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4; mmbb=0.0,63fd31833684e71ee83a8dc49848ff62a32ecd2cc871c5e0d562096ae4e2e902,19497,1784079038237520460
