process_directory,relative_process_directory,suggested_family,process_definition,nevents,iseed,lhaid,ickkw,ihtmin,ihtmax,htjmin,htjmax,ptj,ptjmax,ptb,ptbmax,etaj,etab,drjj,drbb,drbj,phase_space_signature,run_parameters_json,card_hashes_json
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft,HH4b_ggf_heft,ggf_hh4b,"import model /uscms_data/d3/iturkmen/hh4b_delphes/mg5_models/heft | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g | generate p p > h h, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft -f",10000,0,230000,,0.0,-1.0,,,,,0.0,-1.0,,-1.0,,0.0,,ihtmin=0.0; ihtmax=-1.0; ptb=0.0; ptbmax=-1.0; etab=-1.0; drbb=0.0,"{""cut_decays"": ""False"", ""drbb"": ""0.0"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""-1.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""0.0"", ""ptbmax"": ""-1.0""}","{""param_card.dat"": ""d055c12a17500b811b3f012485f514f2d8d6d7637d3548c0b3cfa0db3247866e"", ""proc_card_mg5.dat"": ""79f3af6a8f65acea8f5d9a3bde31275bb41f1e4b6c1c3ea0b6603f2d67ff7f4d"", ""run_card.dat"": ""30df4c967bce52b872e399fc7e7259aea74d50d1d76110880d46de73f2f9d662""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke,HH4b_ggf_heft_smoke,ggf_hh4b,"import model /uscms_data/d3/iturkmen/hh4b_delphes/mg5_models/heft | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g | generate p p > h h, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_heft_smoke -f",10000,0,230000,,0.0,-1.0,,,20.0,,25.0,-1.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""cut_decays"": ""False"", ""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""d055c12a17500b811b3f012485f514f2d8d6d7637d3548c0b3cfa0db3247866e"", ""proc_card_mg5.dat"": ""609394c97b1317a844c8624499f7ed2e779b631bfa459c5bdf88b510f87b99fe"", ""run_card.dat"": ""443bbde9d7e078e9bc3263c715cb6208212e06adcbec699246211e64b298ce63""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_loop_smoke,HH4b_ggf_loop_smoke,ggf_hh4b,import model loop_sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g | generate p p > h h [virt=QCD] | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_ggf_loop_smoke -f,10000,0,230000,,,,,,,,,,,,,,,,"{""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1""}","{""param_card.dat"": ""66cea5a7be65e9bc8486fb0e18d4e45f9ede2b9f0b556d965d99b0b9fa2897d4"", ""proc_card_mg5.dat"": ""a614637561369f53a41836799324792d499b574c1d6d78712d5d101310db852f"", ""run_card.dat"": ""00cd76255b00442ba62ac6704680b77f69cff6d630c1e81d4a806f2b69177611""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf,HH4b_smoke_vbf,vbf_hh4b,"import model sm | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | generate p p > h h j j QCD=0, (h > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/HH4b_smoke_vbf -f",10000,0,230000,,0.0,-1.0,0.0,-1.0,20.0,,25.0,-1.0,5.0,2.7,0.4,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; htjmin=0.0; htjmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drjj=0.4; drbb=0.4; drbj=0.4,"{""cut_decays"": ""False"", ""drbb"": ""0.4"", ""drbj"": ""0.4"", ""drjj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""htjmax"": ""-1.0"", ""htjmin"": ""0.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""mmjj"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""c450a1e9ab6e1893114beba3b6c788382f6e335fa47dbea0bb8e60bf6d8ea9f2"", ""pythia8_card.dat"": ""eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255"", ""run_card.dat"": ""7e85afc49c13ef0a68e1d795bdab64393455710ab4c26dd27394b0aef31050e8""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke,QCD_bbbb_presel_smoke,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke \,10000,0,230000,,0.0,-1.0,,,20.0,,25.0,-1.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""06cad6dcc7ba20abc586ed34bd6014356015ba2b9cb91e480b20dd036d520bba"", ""run_card.dat"": ""1e12c5393b7cd61e20ca9f3308aebca2650bfe054e65af512072e8216e60d455""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_smoke,QCD_bbbb_smoke,qcd_bbbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_smoke -f,20,0,230000,,0.0,-1.0,,,,,0.0,-1.0,,-1.0,,0.0,,ihtmin=0.0; ihtmax=-1.0; ptb=0.0; ptbmax=-1.0; etab=-1.0; drbb=0.0,"{""drbb"": ""0.0"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""-1.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""20"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""0.0"", ""ptbmax"": ""-1.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""4f8bf68f8eb33ad13c2ec05ce24f809cbe7b909e195abe73ae9092c20b311bf8"", ""run_card.dat"": ""d72182c4359eeed9b8e6a2ada5d736ae336427872bd253761c94f1ad5dfc61d6""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke,TTbar_smoke,ttbar,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~ | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke -f,10000,0,230000,,,,,,20.0,,25.0,,5.0,2.7,,0.4,0.4,ptj=20.0; ptb=25.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""5"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""9c771a8b9c596f02c9a21953936a2bacb2268f04253d38ef974e6ff6bea8bbf8"", ""run_card.dat"": ""5b6b7f660badb79d25218fb4920c801794e62861fb8cf53311d75588786ef04d""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbb_smoke,TTbb_smoke,ttbb,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > t t~ b b~ QED=0 | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbb_smoke -f,5000,0,230000,,0.0,-1.0,,,20.0,,25.0,-1.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""5000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""518270a34baa878fbbffc84f2c18a88000699da4f758f0aabf06c02ad076ad0d"", ""run_card.dat"": ""2628f5a1c99b87874d1aac4f84d1eb622171b0f5734b1656d88445c577cd6e8d""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/ZH4b_smoke,ZH4b_smoke,zh4b,"import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > z h, (z > b b~), (h > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/ZH4b_smoke -f",10000,0,230000,,0.0,-1.0,,,20.0,,25.0,-1.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""cut_decays"": ""False"", ""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""f3ad658556a6945980a8377270fe1a2869be15677ce17f3a5ea584c6e3b26d57"", ""run_card.dat"": ""443bbde9d7e078e9bc3263c715cb6208212e06adcbec699246211e64b298ce63""}"
/uscms_data/d3/iturkmen/hh4b_delphes/mg5/ZZ4b_smoke,ZZ4b_smoke,zz4b,"import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > z z, (z > b b~), (z > b b~) | output /uscms_data/d3/iturkmen/hh4b_delphes/mg5/ZZ4b_smoke -f",10000,0,230000,,0.0,-1.0,,,20.0,,25.0,-1.0,5.0,2.7,,0.4,0.4,ihtmin=0.0; ihtmax=-1.0; ptj=20.0; ptb=25.0; ptbmax=-1.0; etaj=5.0; etab=2.7; drbb=0.4; drbj=0.4,"{""cut_decays"": ""False"", ""drbb"": ""0.4"", ""drbj"": ""0.4"", ""ebeam1"": ""6500.0"", ""ebeam2"": ""6500.0"", ""etab"": ""2.7"", ""etaj"": ""5.0"", ""ihtmax"": ""-1.0"", ""ihtmin"": ""0.0"", ""iseed"": ""0"", ""lhaid"": ""230000"", ""maxjetflavor"": ""4"", ""mmbb"": ""0.0"", ""nevents"": ""10000"", ""pdlabel"": ""nn23lo1"", ""ptb"": ""25.0"", ""ptbmax"": ""-1.0"", ""ptj"": ""20.0""}","{""param_card.dat"": ""5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41"", ""proc_card_mg5.dat"": ""1dffd9a749835b7f6a9881211293244e1071df84c16fa7d984a2e4885f9a12e7"", ""run_card.dat"": ""443bbde9d7e078e9bc3263c715cb6208212e06adcbec699246211e64b298ce63""}"
