canary_class	production_row_index	source_uid	generated_events	transport_class	access_mode	process_or_mode
ordinary_signed_sidecar	374	1596513597a80bad4bbc8fdc::background::319::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz	1500	signed_exact_event_sidecar	remote_bundle_extraction_required	zzz_zbb
hard_qcd_variable_fragment	202	e5ff572c7d0297ac256a6c61::background::212::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin01_pthat75to100_shard9812_seed1219812_bundle.tar.gz	2809	qcd_variable_frozen_fragment	remote_bundle_extraction_required	qcd_hardqcd
nested_ggf_signal	377	0540a4c78a021d63f3a941b1::signal::45::ggf_shard_045	1000	uniform_member_constant	remote_bundle_extraction_required	ggf_hh4b
local_direct_root	237	1292acdf3e3add4887eb1585::background::342::event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_event_summary.parquet	10000	uniform_member_constant	local_direct_root	ttbar_inclusive
auxiliary_qcd	0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	10000	not_applicable_auxiliary_qcd	remote_bundle_extraction_required	qcd_bbbb_general
